plateifu,log(N/Ha),log(O/Hb),avg_emline_sew_peak_ha_6564
10214-1902,-0.121166092,-0.238387952,18.00086021
10214-3701,-0.573683134,-0.826385119,92.164114
10214-3702,0.100889319,0.15839716,6.648541927
10214-3703,-0.445859758,-0.368692419,0.758269057
10214-3704,0.017069522,0.093516793,1.2287184
10214-6101,-0.6849877,0.144526729,22.04045248
10214-6102,-0.090154639,-0.488530436,0.409475585
10214-6103,-0.510036919,-0.119025513,8.801813126
10214-6104,-0.463420884,-0.278165766,4.260191917
10214-9101,-0.212901994,-0.231682188,0.762104909
10214-9102,0.449399446,0.881903857,0.937627748
10215-12701,-0.154254247,0.069972295,3.493065655
10215-12702,-0.514337062,-0.601231199,10.09186029
10215-12703,-0.570257516,0.006083586,21.7072072
10215-12704,-0.104808659,0.271021234,16.61045408
10215-12705,-0.288723791,-0.308722738,3.408590615
10215-1901,-0.375110036,-0.478022027,12.76073456
10215-1902,-0.034179602,0.27014029,7.275368333
10215-3701,-0.545843229,-0.188369249,27.20065165
10215-3702,-0.184278702,0.040423138,19.75703859
10215-3703,-0.001141661,0.234210963,6.649216056
10215-3704,-0.31163166,-0.490868607,21.47836065
10215-6101,-0.34437437,-0.022836552,41.03704739
10215-6102,-0.66991555,0.157010714,302.4025345
10215-6103,-0.453352017,-0.624688043,57.18999004
10215-6104,-0.414895217,-0.364292389,40.37941837
10215-9101,-0.402424001,-0.335608466,4.127608418
10215-9102,-0.000752066,0.130329767,5.648170352
10220-12701,-0.334006558,-0.336115831,12.86973572
10220-12702,-0.093257961,-0.028037961,14.27024388
10220-12703,-0.657494587,-0.069348047,29.88371944
10220-12704,-0.4382638,-0.486938944,29.07119799
10220-12705,-0.366147933,-0.227865029,11.17069697
10220-1901,-0.205993182,0.198077291,3.7144714
10220-1902,0.155642016,0.286749288,1.428598076
10220-3701,-0.519822198,-0.084925833,27.95603752
10220-3702,-0.033410579,0.110187165,3.731704712
10220-3703,0.272703428,1.039708547,4.10605967
10220-3704,0.013897167,0.245368004,1.804730058
10220-6101,-0.072286054,-0.274794795,2.488238215
10220-6102,0.09964282,0.266498569,3.333470166
10220-6103,-0.169189902,-0.016933997,7.929009199
10220-6104,-0.346227869,-0.268059645,13.65192509
10220-9101,0.089163514,0.619588117,5.790974617
10220-9102,-0.794623547,0.205390826,29.81471395
10480-12701,-0.199381103,-1.165241057,13.63574155
10480-12702,-0.381482247,-0.412198576,38.15831884
10480-12703,-0.416062455,-0.009585949,196.0375722
10480-12704,-0.446494901,-0.6059908,101.0877686
10480-12705,-0.313971554,0.320742425,20.44219144
10480-9101,0.047854695,0.905748355,1.155447029
10480-9102,0.026892203,0.692406137,4.553542932
10481-12701,-0.159477564,0.220938005,12.74516519
10481-12702,-0.557447967,-1.612598965,152.9697266
10481-12703,-0.175123527,-0.485832672,12.28044192
10481-12704,0.08151133,0.350086618,4.155341148
10481-12705,-0.202367742,-0.035523147,64.65830739
10481-9101,-0.287712451,-0.015330396,1.661839291
10481-9102,-0.11363204,-0.305181434,35.91596365
10482-12701,-0.071922284,0.0668828,8.574711164
10482-12702,-0.447301719,-0.906361656,217.368337
10482-12703,-0.272088445,-0.522074746,67.02760061
10482-12704,-0.04852529,-0.15112264,64.5995992
10482-12705,-0.366136888,-0.151988098,188.6580963
10482-9101,-0.332040206,0.328538442,170.3868043
10482-9102,0.198612701,0.584740995,1.497483253
10483-12701,-0.512822464,-0.666992763,26.04054705
10483-12702,-0.378349632,-0.278317154,26.98699506
10483-12703,0.05240794,0.331089321,16.9397138
10483-12704,-0.512446624,-0.387019778,155.4957962
10483-12705,-0.244793165,-1.648472703,40.66380644
10483-9101,-0.458810086,-0.369762784,63.98879671
10483-9102,-0.135710987,-0.749355247,4.145871639
10484-12701,-0.46760509,-1.57046158,686.1870931
10484-12702,-0.745681561,0.742981444,7.096514702
10484-12703,-0.483240464,-0.616606418,388.3455505
10484-12704,-0.337644365,0.040559506,16.09541384
10484-12705,-0.271610213,0.017652027,9.553895315
10484-9101,-0.086548411,-0.13985627,4.042116006
10484-9102,-0.11659598,-0.459472428,15.88090408
10485-12701,-0.125376098,-0.23418522,5.963530223
10485-12702,-0.071605039,0.898084452,4.788154761
10485-12703,-0.266652492,-0.770622837,38.05830765
10485-12704,-0.085652463,-0.809564185,92.7428716
10485-12705,-0.516329936,-0.664776565,80.89949036
10485-9101,-0.212378536,0.374140631,5.311925093
10485-9102,-0.236320196,0.739293976,15.27507242
10486-12701,0.015191037,-1.732768197,10.17673743
10486-12702,-0.490139452,0.607848001,15.85403633
10486-12703,-0.488064561,-0.770629116,52.14209557
10486-12704,-0.623046053,-0.581888623,27.006066
10486-12705,-0.957033421,0.88611745,6.446986407
10486-9101,-0.343377364,0.448736148,23.1519146
10486-9102,-0.051394262,-2.36593211,7.250257333
10487-12701,-0.012947068,0.62226145,5.462116718
10487-12702,0.007869984,-1.577775335,13.07194138
10487-12703,-0.394566602,-0.527728963,18.22475688
10487-12704,-0.353640338,-0.257071945,45.37764613
10487-12705,-0.351080305,-0.386084795,3.125097573
10487-9101,-0.363081024,0.032125434,343.6070557
10487-9102,0.143900482,0.108751839,9.620746295
10488-12701,-0.309832782,-0.427776894,21.640064
10488-12702,0.087019282,-0.007773571,3.822161317
10488-12703,-0.310437237,-0.646443339,77.83868408
10488-12704,-0.323454633,-0.177564347,393.7663981
10488-12705,-0.207766581,-0.110910895,3.931786855
10488-9101,-0.154606958,0.437539579,13.95112419
10488-9102,0.081847096,1.118187145,2.951921821
10489-12701,-0.455821382,-0.945317764,12.70094268
10489-12702,-0.051267781,0.918434612,92.75465139
10489-12703,-0.456761693,-0.50099896,158.9807638
10489-12704,-0.596157206,-0.844665618,30.92362086
10489-12705,0.039893741,-1.308325634,2.467017968
10489-9101,-0.532626361,-0.736688193,49.79854584
10489-9102,-0.489816047,-0.813444603,50.73541768
10490-12702,-0.279929996,-0.414499213,42.04662704
10490-12703,-0.256135214,-0.177502334,5.919236183
10490-12704,-0.739281416,-1.515778522,84.22122765
10490-12705,-0.135058276,0.505371588,31.29256821
10490-9101,-0.129047019,-1.038341271,11.42136943
10490-9102,-0.370368553,-1.316160407,91.76940664
10491-12701,-0.241266648,0.652871324,34.29390971
10491-12702,-0.321916428,0.277299926,147.218633
10491-12703,-0.451900384,-0.508405914,17.94923846
10491-12704,-0.131988995,-0.548451166,134.0143763
10491-12705,-0.142600017,1.270416767,62.53187561
10491-9101,-0.675714538,0.14360826,57.9036386
10491-9102,-0.697454989,0.608137029,20.43671862
10492-12701,0.084093587,0.169960455,11.3945775
10492-12702,-0.070139454,0.526852465,23.65356588
10492-12703,-0.143553462,-0.016267583,12.17723846
10492-12704,-0.363473181,-0.408450235,11.8204813
10492-12705,0.11696033,0.447085496,2.170716047
10492-1901,-0.536358235,-0.494726925,10.54338837
10492-1902,0.081701168,0.329673281,2.71043855
10492-3701,-0.140413635,0.060914578,0.5208082
10492-3702,0.176023663,2.046008079,0.155027611
10492-3703,-0.392358697,-0.107672841,1.213073581
10492-3704,-0.046533824,0.084457402,3.475409329
10492-6101,-0.174164671,0.208475373,1.579671711
10492-6102,0.182908376,0.377196912,7.053229332
10492-6103,-0.04183372,0.76337317,89.34944916
10492-6104,-0.099694538,0.211786779,6.97371161
10492-9101,-0.38965385,-0.662194593,45.43126774
10492-9102,-0.011205591,0.513017122,19.18353224
10493-12701,-0.329727135,-0.341418654,23.59894037
10493-12702,-0.523099231,-0.182017666,8.911814451
10493-12703,-0.644642775,-0.24879023,3.64280051
10493-12704,-0.546230378,-0.111754786,4.642841101
10493-12705,-0.577587772,-0.06157368,4.944128156
10493-1901,-0.082243751,0.312466642,1.630482823
10493-1902,-0.440509079,0.061030339,72.85024834
10493-3701,-0.461412869,-0.732816839,13.7687068
10493-3702,0.021352282,0.303636912,0.659715533
10493-3703,-0.098366257,-0.056775283,0.638575673
10493-3704,-0.141211634,0.889295702,41.42684174
10493-6101,0.398479875,1.581021707,0.392411999
10493-6102,-0.207750139,0.8083851,1.048964679
10493-6103,0.172423001,-0.131976083,0.586311474
10493-6104,0.178250402,0.231644026,3.853196859
10493-9101,-0.507918709,-0.411738407,17.32572079
10493-9102,-0.699393248,0.099113588,9.065157175
10494-12701,-0.154409958,0.583996337,7.252549052
10494-12702,0.344253122,0.18773255,1.339307994
10494-12703,0.162206027,-0.019793395,1.250356476
10494-12704,0.070317582,0.149579878,3.334027767
10494-12705,-0.045421628,0.216434561,5.772098064
10494-1901,-0.815123665,0.484351248,0.153961413
10494-1902,-0.26409942,-0.046335132,2.917992274
10494-3701,-0.324950691,-0.302498593,50.00447941
10494-3702,-0.637491414,0.03301818,0.177029427
10494-3703,-0.307730631,0.440918651,1.525721908
10494-3704,-0.536966307,-0.320682197,26.64926624
10494-6101,-0.417082195,-0.617816351,9.26913619
10494-6102,0.260246313,0.507682283,1.624084085
10494-6103,-1.049928652,-1.291349509,0.938302189
10494-6104,-0.163882028,-0.062312737,3.066973746
10494-9101,0.087840918,0.708284211,4.840157509
10494-9102,-0.261586883,-0.081056914,4.04579556
10495-12701,-0.275034115,-0.13878686,1.943267524
10495-12702,0.096361385,0.243240098,1.019897461
10495-12703,0.27940505,0.106473274,2.083673418
10495-12704,-0.363340675,-0.520284578,10.23131514
10495-12705,-0.445541683,-0.448134826,14.13254023
10495-1901,-0.447896544,-0.419781809,7.348268032
10495-1902,0.404853191,0.003446952,0.85996823
10495-3701,-0.052431117,-0.245472024,7.307793617
10495-3702,-0.512137565,-0.534784476,9.312317371
10495-3703,-0.364664466,0.275145468,0.572810113
10495-3704,-0.52964235,-0.043225388,0.426317831
10495-6101,0.118134902,0.07864908,4.618800044
10495-6102,0.17828643,0.330564609,1.106195748
10495-6103,-0.392692646,-0.582420978,12.53716779
10495-6104,-0.318862695,1.45864649,0.390573929
10495-9101,-0.304864885,0.011168838,10.78266096
10495-9102,-0.062045983,0.171050508,1.348857224
10496-12701,-0.167905223,0.049146316,6.075223804
10496-12702,0.223560915,0.166115019,3.115649879
10496-12703,-0.906183661,-0.039318731,8.961806655
10496-12704,-0.419085099,-0.375123731,213.7413292
10496-12705,-0.473705474,-0.496993147,20.26455069
10496-1901,0.01172435,0.597853953,2.182699114
10496-1902,0.085196149,0.013472928,1.174541712
10496-3701,-0.169530721,-0.592802243,0.406317582
10496-3702,-0.089461685,0.038199548,4.855351567
10496-3703,-0.80462554,0.362789832,1.234702408
10496-3704,0.037193641,-0.073776846,1.301838338
10496-6101,-0.430169638,-0.13510696,18.34248066
10496-6102,-0.554721279,-0.213509432,98.53751183
10496-6103,-0.509880319,-0.196080687,10.67428064
10496-6104,-0.235801092,0.005514685,0.801459402
10496-9101,0.212747575,0.174090334,0.456386454
10496-9102,-0.414962132,-0.204797144,2.658899784
10499-9101,-0.134096494,-0.07613193,0.382967283
10500-12701,-0.198427283,0.50994762,2.010529816
10500-12702,-0.289387702,0.24443215,11.72408557
10500-12703,0.057518687,0.212037541,123.4146309
10500-12704,-0.402869738,-0.596697461,47.10590935
10500-12705,-0.002145431,-0.123716866,1.54438146
10500-1901,-0.114224237,0.40281426,5.008496284
10500-1902,0.30718184,0.363041243,0.267681982
10500-3701,0.312792895,-0.299088581,1.878210038
10500-3702,-0.275637861,-0.462764441,76.15957832
10500-3703,-0.423495716,-0.594510561,43.60302353
10500-6101,-0.404741932,-0.320961656,22.85324764
10500-6102,-0.364499674,-0.205867928,2.042866915
10500-6103,0.037532015,0.044667064,1.131782666
10500-6104,-0.312768185,0.059125409,5.690585136
10500-9101,-0.085938462,-0.058113147,1.84639059
10500-9102,-0.367099226,-0.535290925,6.150021553
10501-12701,-0.16224525,-0.123307404,5.46792984
10501-12702,-0.397467848,-0.521040982,8.53783989
10501-12703,-0.678839786,-0.43025245,17.09077215
10501-12704,-0.460752949,-0.813931226,14.28421855
10501-12705,-0.940057976,0.05831544,2.40989548
10501-1901,-0.256084283,-0.156688411,9.743642569
10501-1902,-0.236696578,-0.449628696,89.94102859
10501-3701,-0.362076506,-0.336258502,27.35126305
10501-3702,-0.079330733,0.190394528,1.662606925
10501-3703,-0.349379918,-0.318918998,3.110847652
10501-3704,0.364881024,0.416591932,1.725622922
10501-6102,-0.379996609,-0.720705634,37.93489265
10501-6103,0.149305786,0.254077991,1.363259852
10501-6104,0.218505777,0.270358516,2.319940448
10501-9101,0.222396932,0.277307532,1.219946697
10501-9102,0.153736095,0.281293311,9.276480198
10502-12702,-0.275794613,0.235196989,0.893185511
10502-12703,-0.226393185,-0.424572216,2.750624418
10502-12704,-0.166880499,-0.041087651,3.590447426
10502-1901,-0.585018991,0.134635733,220.2649574
10502-3701,0.441737985,0.943769492,2.351846516
10502-3703,0.069712611,0.186422294,0.817894474
10502-3704,0.101269886,0.310822424,1.620061994
10502-6102,-0.159494403,-0.353044851,2.099180698
10502-6103,-0.104690836,-0.033918523,14.31081915
10502-6104,-0.332440564,-0.309108251,8.896912336
10502-9101,-0.197173595,0.137704619,3.666087747
10502-9102,0.086209515,0.488530619,1.532778054
10504-12701,-0.317635347,-0.239568737,15.26356363
10504-12702,1.158013597,-0.011700073,2.303996881
10504-12703,-0.572960857,-0.252046567,5.2773844
10504-12704,-0.313581842,0.497199834,17.88768959
10504-12705,-0.121882817,0.181716815,0.507969402
10504-1901,-0.864905225,0.025372242,0.461524278
10504-1902,0.158770169,-0.076179544,2.074285348
10504-3701,0.169727099,0.036864664,0.189136982
10504-3702,0.286216889,-0.110959612,0.726445635
10504-3703,0.000771029,0.201024898,5.813078046
10504-3704,0.139057543,0.011766648,2.122714698
10504-6101,0.182624921,-1.107789685,0.248764813
10504-6103,-0.210509738,0.573773231,2.221352935
10504-6104,-0.083127175,0.194135626,1.674058676
10504-9101,-0.234995803,-0.481365448,48.59171009
10504-9102,-0.296093947,-0.086478502,18.35521078
10505-12701,-0.198073525,-0.1881526,9.597764254
10505-12702,-0.49450557,-0.488542481,0.72199744
10505-12703,-0.295150204,0.023461746,8.390240788
10505-12704,-0.456903017,-0.671611318,25.21068478
10505-12705,-1.028529955,-0.18852484,1.081367215
10505-1901,0.06420931,0.020241029,1.145344719
10505-3701,0.060878365,0.336066413,1.945168257
10505-3702,-0.208700506,-0.407112346,0.241328146
10505-3703,-0.420807382,-0.394098928,4.126712441
10505-3704,-0.343214309,-0.977635881,0.138210963
10505-6101,-0.206533528,0.218833906,6.054545999
10505-6102,0.087828465,0.412823751,5.473045111
10505-6103,-0.250769483,0.381323622,1.325032145
10505-6104,-0.827584048,0.205876388,16.28902817
10505-9101,-0.445936272,-0.497776815,9.32679987
10505-9102,0.076563094,-0.107423251,0.147178821
10506-12701,-0.48843113,-0.28501271,2.959268689
10506-12702,-0.164253284,0.002319719,18.37030935
10506-12703,-0.527116201,-0.188894979,24.53389311
10506-12704,-1.05761638,0.288631306,55.46518135
10506-12705,-0.572843065,-0.336391392,3.603073061
10506-1901,-0.225867961,-0.159613189,22.24033308
10506-1902,-0.429581924,0.664767253,0.575390816
10506-3701,0.088604986,0.456399847,2.121286064
10506-3702,-0.001215175,2.048961363,2.036092699
10506-3703,-0.619106982,-0.048861026,19.97649479
10506-3704,-0.114486454,-0.230696424,0.14363414
10506-6101,-0.424378907,-0.513000116,9.738661051
10506-6102,-0.469561432,-0.465895379,4.500904322
10506-6103,-0.235071649,0.535031195,1.529314607
10506-6104,-0.479028348,-0.394467512,7.314393163
10506-9101,-0.144404309,-0.125007514,10.39136028
10506-9102,-0.405763065,-0.11939507,7.530766487
10507-12701,0.236875674,0.036819717,0.463228683
10507-12702,-0.669297843,0.053022104,6.473963499
10507-12703,-0.420005612,-0.295951905,3.132342398
10507-12704,-0.203561568,-0.026269688,24.47295427
10507-12705,-0.302431318,-0.326012443,14.7921772
10507-1901,-0.154152979,0.224267108,3.304932833
10507-1902,-0.418299606,-0.549660746,43.62233829
10507-3701,-0.227848254,-0.013790752,2.020953506
10507-3702,-0.369068288,-0.322236969,9.311963558
10507-3703,0.073321796,-0.00986162,1.309925795
10507-3704,-0.403915406,-0.296665751,27.75229836
10507-6101,0.252855401,0.403880523,2.588672876
10507-6102,-0.465517093,-0.385937278,26.15468264
10507-6103,0.041059405,0.430554256,5.226232052
10507-6104,0.195120245,0.12063346,22.27277231
10507-9101,-0.452470134,-0.31944706,23.88317251
10507-9102,-0.235909116,-0.255118939,36.22080994
10508-12701,-0.210008487,-0.40831113,19.7895155
10508-12702,-0.601390554,-0.691876111,22.86889744
10508-12703,-0.09964584,0.629992773,39.46365738
10508-12704,-0.659093333,0.091400059,5.007104158
10508-12705,0.032169784,0.303272741,3.032677531
10508-1901,-0.706552922,0.015387491,39.53092766
10508-1902,0.04216637,0.194373038,0.590128094
10508-3701,0.236456348,0.405912767,3.519151807
10508-3703,-0.446241248,0.259500845,1.033528527
10508-3704,0.562682247,0.157640944,0.729332328
10508-6101,0.275327414,0.363555654,33.64364433
10508-6102,-0.301745759,0.429865363,0.388058934
10508-6103,-0.149075519,0.405588022,55.84012508
10508-6104,-0.181352175,-0.213812235,44.11587238
10508-9101,-1.385767767,-0.28503901,2.141594887
10508-9102,0.157277128,0.207258126,1.034931302
10509-12701,-0.504938927,-0.525103591,33.54484272
10509-12702,0.1827099,0.346100754,5.879344463
10509-12703,-0.143907608,-0.129185275,70.76451111
10509-12704,0.144257399,-0.752280149,0.882579088
10509-12705,-0.256286123,0.315134138,1.151286691
10509-1901,-0.456922248,-0.713920234,122.5603294
10509-1902,-0.658382541,0.075090782,8.749899626
10509-3701,-0.433586427,-0.439823651,7.24905479
10509-3702,-0.205340401,0.071149223,0.60949719
10509-3703,-0.5677822,-0.171746732,28.27689695
10509-3704,-0.3700468,-0.63925642,57.04135323
10509-6101,-0.426633941,-0.490258352,26.54639482
10509-6102,-0.479256402,-0.263837946,45.72768116
10509-6103,-0.5296433,-0.014704635,16.91794443
10509-6104,-0.424537174,-0.444591672,20.42699242
10509-9101,-0.316652699,-0.365861625,18.41337538
10510-12701,0.070096306,-0.025385617,1.528472155
10510-12702,-0.472180421,0.883258793,0.868116319
10510-12703,-0.483760948,-0.292737627,7.611108422
10510-12704,0.051155146,1.076198988,164.4540825
10510-12705,0.112928212,-0.036885833,7.308109283
10510-1901,-0.005120136,0.161975833,1.334609166
10510-1902,-0.822940049,0.261605267,2.384390965
10510-3701,-0.130725058,0.626761095,0.59968856
