plateifu,log(N/Ha),log(O/Hb),avg_emline_sew_peak_ha_6564
12050-12705,-0.127477106,0.225221422,84.85066223
12050-9101,-0.295925004,-0.273822104,8.349889596
12050-9102,-0.368093374,0.191332168,16.24728648
12483-12701,0.071126261,0.214461958,4.190259993
12483-12702,-0.389797314,-0.181054559,19.94130421
12483-12703,-0.377281244,-0.532231332,29.57871866
12483-12704,-0.284157088,-0.712035963,154.5801468
12483-12705,0.179553104,0.475644852,5.972106338
12483-1901,-0.55383543,0.019200952,21.64648771
12483-1902,-0.678807312,0.0553351,25.93351984
12483-3701,0.179701644,0.258544391,2.681316733
12483-3702,-0.263884204,0.7376683,1.644931138
12483-3703,-0.642772059,-0.117651508,1.040253475
12483-3704,0.524670565,0.556552976,0.330023184
12483-6101,0.326296295,0.392945867,0.859750643
12483-6102,0.031883732,0.219338726,3.281056762
12483-6103,-0.54264558,-0.40980399,92.92344856
12483-6104,-0.416777922,-0.255421755,8.424489737
12483-9101,-0.39150028,-0.337345858,45.11271954
12483-9102,-0.688888522,0.838741173,652.1247864
12484-12701,0.177815462,0.566931102,3.174439788
12484-12702,-0.415287348,-0.365867918,37.75988865
12484-12703,-0.516896516,-0.206161065,5.94400084
12484-12704,-0.458889139,-0.317901529,12.09188175
12484-12705,-0.323900139,-0.445019765,30.43547297
12484-1901,-0.300921355,0.166241112,22.88313389
12484-1902,0.362606406,0.376756255,1.854091326
12484-3701,0.039847745,0.265943343,1.089591861
12484-3702,-0.160925594,0.351441084,2.687610626
12484-3703,-0.440049162,-0.540759409,105.4146042
12484-3704,-0.272580606,-0.253223446,4.651806593
12484-6101,0.186188015,0.24074406,1.105061993
12484-6102,0.167867808,0.037306486,8.02095592
12484-6103,-0.402064541,-0.355555995,5.796322465
12484-6104,0.276164639,0.106795812,0.798424616
12484-9101,-0.294772075,-0.397257651,4.738736391
12484-9102,0.035805122,0.227265645,1.152892664
12485-12701,0.488643206,-0.243504299,0.875390247
12485-12702,-0.976843574,0.340987901,11.45410562
12485-12703,0.09771539,0.211248421,4.30989939
12485-12704,-0.474547301,-0.334302729,3.51430589
12485-12705,-0.520191002,-0.081777257,3.269792318
12485-1901,-0.406466603,-0.277660294,19.32198429
12485-1902,-0.079220607,0.692820961,1.658300678
12485-3701,-0.102723059,0.048048765,2.45305109
12485-3702,-0.196322041,0.064617401,3.970546007
12485-3703,0.012596195,0.181520961,4.332439542
12485-3704,0.096488449,0.23620891,1.934238315
12485-6101,0.132013829,0.274720989,1.23783353
12485-6102,-0.54336328,-0.236750107,14.78689766
12485-6103,-1.041174947,-0.66513272,1.484341383
12485-6104,0.282651963,0.147780512,10.64456773
12485-9101,-0.230134742,-0.738816289,0.847895078
12485-9102,-0.577865181,-0.112400491,13.6785624
12487-12703,0.19913585,0.150126032,2.135072559
12487-1902,-0.668655844,0.33986318,108.532093
12487-3701,0.139990883,0.468937578,5.175150514
12487-3702,-0.053430714,0.505760044,8.626051426
12487-3703,-0.455814037,-0.625616216,3.353673458
12487-6103,-0.485554908,-0.708355038,21.00200796
12487-6104,0.237957033,0.227011485,18.86890221
12488-6103,-0.144468998,0.36657966,1.121628642
12620-12702,0.260649003,0.395853888,8.318640709
12620-12703,-0.421923442,-0.527399803,19.03070021
12620-12704,-0.425811444,-0.688514757,33.13939667
12620-1901,0.603684994,0.383223104,10.58260536
12620-1902,0.003854003,1.612260591,0.332478322
12620-3702,0.208388434,0.262541266,8.357224345
12620-3703,-0.21457895,0.107205365,22.40491676
12620-6101,-0.656044456,-0.017545263,76.08171272
12620-6103,0.292888959,0.281845777,7.402394533
12620-9102,-0.469563316,-0.7139478,34.3654623
12621-12701,-0.280149539,-0.508961237,27.07169247
12621-1901,-0.400732503,-0.32122927,119.9016476
12621-1902,-0.313100884,-0.147268046,7.175985217
12621-3702,1.521741288,-0.113617311,1.267529815
12621-3703,0.296856974,0.41373056,2.875205457
12621-6103,-0.266086825,-0.375738066,29.85916376
12621-9101,0.147030475,0.522846098,2.908927977
12622-12701,-0.331660208,-0.284167496,5.20119226
12622-12702,0.225011571,0.202887213,9.528795123
12622-12703,-0.448812248,-0.737738793,10.97229648
12622-12704,-0.626309976,-0.26980899,3.977953136
12622-12705,-1.109234444,0.45940233,314.6106262
12622-1901,-0.30968636,-0.349289952,44.07555962
12622-1902,-0.274793615,-0.183724465,203.317791
12622-3701,0.979318854,0.062769767,2.475515664
12622-3702,0.293662392,0.171599265,2.811603963
12622-3703,-0.612838614,-0.154711093,6.242005467
12622-3704,-0.152153722,0.530068639,0.931667522
12622-6101,-0.909837789,0.2153997,12.24276066
12622-6102,0.242004831,-0.401759442,0.24432831
12622-6103,-0.390346666,-0.56707299,4.382305622
12622-6104,-0.430927719,-0.538034418,4.673351288
12622-9101,-0.374233335,-0.588948935,73.02002716
12622-9102,0.275482,0.472452035,5.997419238
12624-12701,-0.760887283,0.04761104,16.19134021
12624-12703,-0.370719307,-0.461644185,7.079221368
12624-12704,-0.674785191,0.023430462,21.98703194
12624-12705,-0.005440307,0.10113558,7.267128229
12624-1901,-0.638450835,0.126548138,101.9114456
12624-6104,-0.016432543,-0.077125537,35.03690243
12624-9101,-0.285825646,-0.473590025,60.27883244
12667-12701,0.139284761,0.085493778,13.21272111
12667-12702,-0.077731095,0.937082124,25.58938646
12667-12703,0.176373433,0.226536812,1.389385819
12667-12704,0.151979429,0.173600162,5.008377433
12667-12705,0.036251248,0.188864669,4.371186137
12667-1902,0.155662275,0.444215254,0.727359958
12667-3701,-0.155141265,-0.28291483,18.16064262
12667-3702,0.075497857,-0.092199763,0.733066171
12667-3703,0.438530368,0.146093167,0.695572108
12667-3704,-0.119130094,-0.245362418,3.503154814
12667-6101,-0.311060623,-0.607008733,67.4739151
12667-6102,-0.082905582,-0.383031048,1.02467081
12667-6103,-0.236253895,-0.435494754,44.54664421
12667-6104,-0.277422495,0.075214916,8.382273912
12667-9101,0.395568225,0.443065267,1.120042056
12667-9102,0.103231175,0.245641391,2.694111049
12673-12702,0.031852492,0.211618596,2.457609057
12673-12703,-0.459492516,-0.533593585,21.39681101
12673-12704,0.36250722,0.173872395,0.54232496
12673-12705,0.110031578,0.286700721,3.531961977
12673-1901,0.246838496,-0.116220914,2.631159484
12673-1902,-0.375419598,0.341898538,0.719317317
12673-3701,-0.146357253,-0.146795003,2.815019608
12673-3702,-0.211213643,-0.084056964,3.33444345
12673-3703,-0.147417246,-0.598055492,6.56939292
12673-3704,-0.370389913,-0.444750518,28.86926794
12673-6101,-0.263431556,0.06513218,17.63585711
12673-6102,0.148003961,-0.037321526,1.580789953
12673-6103,-0.457021481,-0.322343117,10.39946914
12673-6104,0.277052818,-0.07457211,1.312529996
12673-9101,-0.452894467,-0.583755935,19.65523577
12673-9102,-0.208508346,0.25148543,20.02592325
12674-12701,-0.425297124,-0.591670061,24.82684994
12674-12702,-0.605186,-0.089326519,10.46159697
12674-12703,0.079953874,0.6554194,70.8367691
12674-12704,0.18575148,0.201517289,3.752041638
12674-12705,-0.366494775,-0.522117078,2.00909241
12674-1901,-0.750952819,-0.046751576,2.501051605
12674-1902,0.144422547,0.065942403,2.823242247
12674-3701,-0.463322429,0.19106197,0.392089993
12674-3702,0.126222228,0.304890692,1.090046749
12674-3704,0.415858116,-0.277070079,0.320489059
12674-6101,0.122357848,0.438804967,0.378278404
12674-6102,0.298980189,0.555251556,5.802917004
12674-6103,0.290012869,0.24631527,4.123797119
12674-6104,-0.387801749,-0.438945337,1.552703053
12674-9101,-0.312908897,-0.267213507,8.060988426
12674-9102,-0.371996471,-0.300877868,4.147673607
12675-12701,0.259844877,0.185218172,3.245547414
12675-12702,-0.149883225,0.150337267,2.000804245
12675-12703,-0.328372379,-0.381458012,6.157505512
12675-12704,-0.414654196,-0.455035046,14.49025273
12675-12705,-0.501990013,-0.382284992,1.104037762
12675-1901,-0.909913478,0.172163473,5.006156802
12675-1902,-0.049423493,0.456110994,5.864468217
12675-3701,0.014201973,0.093295328,2.756922543
12675-3702,0.163039585,0.55926982,4.568644106
12675-3703,-0.517210977,-0.504192241,3.850876212
12675-3704,0.325369903,0.365552221,11.27469563
12675-6101,-0.072934222,-0.067893596,5.345918179
12675-6103,0.002120518,0.189949459,3.219555736
12675-6104,0.235952794,0.181261193,3.514893115
12675-9101,0.012170737,0.272961304,1.102501929
12675-9102,0.129104613,0.233092742,2.60911727
12767-1902,-0.332560242,-1.349048999,191.4358368
7443-12701,-0.18760936,0.409618327,2.417153299
7443-12702,-0.429836058,-0.307154784,4.402823806
7443-12703,-0.287621033,-0.061796369,342.6898422
7443-12704,-0.444668796,-0.625280908,51.35929775
7443-12705,-0.40901499,-0.693419668,5.641147017
7443-1901,-0.547763009,-0.083101895,31.62270641
7443-1902,0.182689031,-0.334750988,0.25660186
7443-3701,-0.716879754,0.012558162,17.42089939
7443-3702,-0.05507232,0.46137753,0.549186014
7443-3703,-0.68010148,-0.195674025,0.128695615
7443-3704,-0.777773775,0.241562876,13.68595457
7443-6101,-0.637344735,0.018527654,3.326528609
7443-6102,-0.446731591,-0.724795759,57.5279932
7443-6103,-0.61685138,-0.045996422,29.26081753
7443-6104,0.098411779,0.260915824,3.229897082
7443-9101,-0.219061314,-0.086340257,33.80084801
7443-9102,0.179208816,0.114291417,0.807102904
7957-12701,-0.575315415,-0.253261478,2.205867708
7957-12702,-0.55208993,-0.686962612,36.32281494
7957-12703,0.16023283,0.163808296,2.955053747
7957-12704,-0.397043252,-0.346015854,23.71007395
7957-12705,-0.137038664,0.27840258,5.906707168
7957-1901,0.110550324,-0.399641144,0.602256636
7957-3701,0.181617092,0.271377224,4.088641942
7957-3702,-0.011979437,-0.076237875,0.147073219
7957-3703,-0.609995384,-0.075343207,22.75822592
7957-3704,-0.478732873,-0.600550385,12.21341324
7957-6101,-0.117982174,0.162805082,3.654631257
7957-6102,-0.144687828,-0.081946484,7.478746057
7957-6103,0.179810285,0.103953977,6.257570863
7957-6104,-0.598504272,-0.051188037,44.52778339
7957-9101,-0.569164258,-0.083442849,7.411556721
7957-9102,-0.481467038,-0.690675851,27.68000507
7958-12701,-0.786177303,0.163670905,11.38726234
7958-12702,-0.53752704,-0.121514364,4.495226204
7958-12703,-0.395720239,-0.250523576,5.63251698
7958-12704,-0.493934989,-0.140008652,25.83799696
7958-12705,-0.786114394,0.231764246,14.74991274
7958-1901,0.067466066,0.78997058,1.169493258
7958-1902,-0.309740292,-0.352472167,8.520447731
7958-3702,-0.132321686,0.08109418,19.91329813
7958-3703,0.120642497,0.549156952,4.41833818
7958-3704,-0.116713405,0.110579169,1.125798374
7958-6101,-0.218710989,-0.566496815,67.11652946
7958-6102,0.266745752,0.161192366,2.467389107
7958-6103,0.059852037,0.534504212,2.446401477
7958-6104,0.102550823,0.350252393,1.06187351
7958-9101,-0.291428356,0.704969111,11.09787345
7958-9102,0.050442841,0.415752576,2.117126226
7959-12701,-0.054159309,-0.006935177,6.805731297
7959-12702,0.092309148,0.264824567,6.067201138
7959-12703,0.101040612,0.139198952,6.031323552
7959-12704,-0.098331638,-0.036078413,49.49179268
7959-12705,-0.477332948,-0.708037324,46.39319515
7959-1901,-0.511995643,-0.09502632,11.99648666
7959-1902,-0.123098881,0.303878924,1.548241317
7959-3701,-0.207160953,-0.450841014,95.16436005
7959-3702,-0.018887398,0.648419442,1.829674721
7959-3703,-0.229745225,0.208510297,2.557371557
7959-6101,0.152016826,-0.028137787,0.481145754
7959-6102,0.238461898,1.00151326,13.28399897
7959-6103,0.086223073,0.742869954,22.90558004
7959-6104,0.22301499,0.380035921,5.978111148
7959-9101,-0.228197302,-0.198510089,3.902076006
7959-9102,-0.553648878,-0.639526678,20.62232304
7960-12701,-0.01309836,0.057906086,16.53297234
7960-12702,-0.256491048,-0.370754614,4.583217621
7960-12703,-0.452574782,-0.584817882,10.11013651
7960-12704,-0.451978231,-0.51441204,36.08115005
7960-12705,-0.315546343,-0.647463493,23.82755899
7960-1901,-0.174623789,-0.283665479,1.250732824
7960-1902,0.114568732,-0.345532919,1.546731383
7960-3701,0.185168716,0.300035085,2.50571233
7960-3702,0.033404072,0.159965615,4.98110199
7960-3703,-0.426470797,0.070514168,24.01641703
7960-3704,-0.792825633,0.269493189,45.87639427
7960-6101,-0.608410712,-0.215886296,6.864481091
7960-6102,-0.601445512,-0.276572428,17.68211222
7960-6103,-0.430293525,-0.455156972,31.77906179
7960-6104,0.039140349,0.187468997,1.135316059
7960-9101,-0.508935789,-0.031449406,6.452221394
7960-9102,0.162032403,-0.199005477,0.719847515
7961-12703,-0.468435263,-0.608604332,34.10757637
7961-12704,-0.316716778,0.423153868,5.31260097
7961-12705,0.093234821,0.15102277,9.496448755
7961-1901,-0.09915483,0.202360368,3.525222063
7961-3701,0.140115543,-0.151217955,0.482002348
7961-3702,-0.306627702,-0.125339866,18.35520124
7961-3703,-0.779844115,-0.570217859,1.491729259
7961-3704,0.505441726,0.180989021,0.414762452
7961-6101,0.160589683,0.321765928,3.482086599
7961-6102,-0.080479054,0.387434293,0.726375893
7961-6103,0.022679889,0.057855857,10.61564589
7961-6104,-0.355977751,-0.465256941,4.785149336
7961-9102,-0.40675812,-0.594601455,6.944579124
7990-12701,-0.572150215,-0.915059191,11.38760352
7990-12702,-0.178300999,-0.298691089,1.598277301
7990-12703,-0.671810858,-0.023657698,17.08167553
7990-12704,0.006591335,0.206764128,7.074599028
7990-12705,-0.011355656,0.209892481,4.008351326
7990-1901,0.235958996,0.562411249,7.475836754
7990-1902,-0.321955817,-0.452867412,89.2142601
7990-3701,-0.023497967,0.465745354,2.451025903
7990-3702,-0.323565262,-0.32876187,4.503531933
7990-3703,-0.606403551,0.038245625,231.2899208
7990-3704,0.145232139,0.574892338,1.172519475
7990-6101,-0.453117352,-1.662466258,3.730467856
7990-6102,-0.362536983,-0.215031323,1.317903757
7990-6103,-0.021888929,0.408690447,4.480447173
7990-6104,-0.470807658,-0.684639596,92.02088356
7990-9101,-0.448722017,-0.530388534,12.3857317
7990-9102,-0.36942437,-0.328199564,9.488256693
7991-12701,-0.240916693,-0.263150653,57.62971592
7991-12702,0.204698349,0.174664079,3.208238423
7991-12703,0.184262293,0.267408408,5.219605088
7991-12704,-0.440438573,-0.581418078,5.471671462
7991-12705,0.084546533,-0.236790911,4.010008693
7991-1901,-0.076579038,-0.176883155,182.9543114
7991-1902,0.114364814,1.101809474,1.199115798
7991-3701,-0.093300061,-0.112804866,2.017167628
7991-3702,-0.205388583,0.441460288,25.06062651
7991-3703,0.091340637,0.019827573,0.322081216
7991-3704,0.079029944,0.283924737,4.620494723
7991-6101,0.241386599,0.157112655,1.125220925
7991-6102,0.142242139,-0.276919228,0.189972587
7991-6103,-0.467981639,-0.509662609,12.96971035
7991-6104,0.260632016,0.952927694,19.92563629
7991-9101,-0.420988664,-0.322927455,5.971382856
7991-9102,-0.702733715,-0.092651813,0.255722513
7992-12701,-0.626246542,-0.055905989,1.358049214
7992-12702,-0.194982496,0.349328331,2.797276795
7992-12703,-0.916385498,0.297677969,29.30352449
7992-12704,0.346416469,-0.310639417,2.904011885
7992-12705,0.280835498,0.133913089,0.871697202
7992-1901,-0.523764478,-0.211817982,24.5137763
7992-1902,-0.196939584,0.074756864,5.829435945
7992-3701,-0.152667239,0.319861678,1.808297783
7992-3702,-0.438407865,-0.393176181,39.61130428
7992-3703,-0.192091794,0.571303169,1.630563825
7992-3704,-0.520500214,-0.106994908,6.301119447
7992-6101,0.149877444,0.134296406,5.702689052
7992-6102,-0.731813873,0.184615103,117.7528095
7992-6103,-0.315526115,-0.196692212,24.13783121
7992-6104,-0.385652359,-0.677948861,78.27070427
7992-9101,-0.920242689,0.133839253,13.1238451
7992-9102,0.266489761,0.936494963,12.1069715
8131-12701,-0.575621864,-0.211472563,23.65742397
8131-12702,0.217375156,0.140648552,2.230262071
8131-12703,-0.426915582,-0.383456592,5.031232595
8131-12704,0.024703829,0.384914584,3.679555953
8131-12705,0.114543246,-0.10734836,0.818555281
8131-1901,-0.123233412,-0.108151474,0.645832598
8131-1902,0.264846341,-0.034334571,0.289880738
8131-3701,-0.084600164,0.049614663,2.293081522
8131-3702,0.042974309,0.152951887,0.451557517
8131-3703,0.150487462,-0.15969343,0.818286151
8131-3704,0.080550655,-0.119337107,0.290464203
8131-6101,-0.378307181,-0.485725259,15.81097007
8131-6102,-0.19060492,-0.634373498,2.306189239
8131-6103,-0.056868274,-0.031590827,0.564865902
8131-6104,0.244749127,0.421652926,1.853260249
8131-9101,-0.976708749,0.351097078,122.0484295
8131-9102,0.160352213,0.352733989,5.152827263
8132-12701,-0.18937852,-0.248404941,3.593010321
8132-12702,0.16442196,0.627206831,8.560946703
8132-12703,-0.189564211,-0.157114132,4.650783241
8132-12704,0.016849659,0.314034355,1.438321233
8132-12705,-0.360390157,-0.256418762,8.854786634
8132-1901,0.262755082,0.166523681,1.109263957
8132-1902,0.188760324,0.319110763,1.223491266
8132-3701,0.786470249,0.490509241,0.63843898
8132-3702,-0.584659884,-0.031908755,78.02611923
8132-3703,-0.591208877,-0.125823596,18.06224632
8132-3704,-0.024231925,0.36036975,3.517189622
8132-6101,0.048818132,0.4529742,14.29694748
8132-6102,-0.258583538,-0.097071569,8.852493286
8132-6103,-0.244391004,-0.467753314,1.708665609
8132-6104,0.091446734,0.16471619,1.178647205
8132-9101,-0.465490767,-0.516486588,26.95160961
8132-9102,-0.014937218,0.250453158,4.31531924
8133-12701,-0.630312949,0.232072023,5.043106198
8133-12702,0.030566857,0.735076301,11.33453965
8133-12703,-0.045302535,-0.337639697,0.513943598
8133-12704,0.031216605,0.131093994,6.345032811
8133-12705,-0.134654587,-0.13007581,5.320470929
8133-1901,-0.606564232,-0.133514468,7.257416368
8133-1902,0.077466549,-0.069654835,0.611691609
8133-3701,-0.213355578,-0.38226964,16.08584738
8133-3702,0.150708754,0.237320999,1.908867598
8133-3703,0.134765934,0.25385112,0.542178132
8133-3704,-1.106898643,0.410450532,37.3321085
8133-6101,0.211585428,0.405511089,1.116665348
8133-6102,-0.646116754,-0.140455686,2.211681902
8133-6103,0.132313747,0.115247722,2.930738926
8133-6104,0.128209402,0.290180145,1.163338438
8133-9101,-0.251188724,-0.299756351,15.31821179
8133-9102,-0.136158591,-0.200338505,3.402368903
8134-12701,-0.482649583,-0.215866995,6.549738169
8134-12702,-0.447362761,-0.508978891,12.84483385
8134-12703,-0.47022469,-0.486066497,5.285895467
8134-12704,-0.047599384,0.05354425,3.024838388
8134-12705,-0.471519864,-0.487353825,2.639998794
8134-1901,-0.462061981,-0.577482388,48.93775654
8134-1902,0.15759636,-0.096373049,1.063057348
8134-3701,0.078926215,-0.003653669,7.556720614
8134-3702,0.120506964,0.447669988,0.264016509
8134-3703,-0.57931302,0.297186982,0.795431584
8134-3704,0.039161319,0.274721882,1.600262672
8134-6101,-0.177532629,0.000963395,2.575122714
8134-6102,0.149101629,0.276467831,2.272987783
8134-6103,-0.501283288,-0.300655299,30.12229824
8134-6104,-0.926024843,0.309156768,8.254770041
8134-9101,0.062499047,0.404143644,0.441872694
8134-9102,0.195686954,0.384702448,8.643133879
8135-12701,0.297147609,0.288399984,6.222993135
8135-12702,-0.379819739,-0.40626096,3.821997106
8135-12703,-0.278608867,-0.169173816,4.458706856
8135-12704,-0.128056742,0.024787186,3.452039838
8135-12705,-0.435094991,-0.217311478,7.705447912
8135-1901,-0.383834156,-0.680953427,30.8824892
8135-1902,-0.01790139,-0.007994305,440.1206055
8135-3701,-0.016165128,0.288269883,2.451647639
8135-3702,-0.54308278,-0.177201036,5.085166812
8135-3703,-0.267640344,0.11739837,0.362921417
8135-3704,-0.562296141,-0.265711945,55.033144
8135-6101,-0.66618544,-0.035284489,39.97133636
8135-6102,0.065397251,0.247836441,1.64396894
8135-6103,0.16713937,0.364548564,4.320459485
8135-6104,-0.069348256,0.340668096,1.95727247
8135-9101,0.210439792,0.139978726,0.974945098
8135-9102,-0.456473412,-0.569437632,13.81390405
8137-12701,-0.493296036,-0.431694925,5.923207045
8137-12702,-0.447633564,-0.52974204,6.57437861
8137-12703,-0.153536603,-0.143971034,9.535092831
8137-12704,-0.433324247,-0.402591961,3.98907876
8137-12705,-0.550791613,-0.322959761,9.401354074
8137-1901,-0.173303819,0.13227739,11.05710745
8137-1902,-0.29493625,0.309435285,1.982588261
8137-3701,0.177084885,0.234237842,2.762479186
8137-3702,0.144945057,0.78054911,12.80675793
8137-3703,0.203191106,0.682581121,3.438372552
8137-3704,-0.432048247,-0.353555775,12.27210402
8137-6101,0.287063517,0.258767334,0.723802507
8137-6102,-0.195865761,-0.010744023,1.330885291
8137-6103,0.242301782,0.13230887,2.607816935
8137-6104,0.182797653,0.103749415,1.002761588
8137-9101,0.227046286,0.205596447,0.620252989
8137-9102,-0.350268776,-0.376805416,13.67039824
8138-12701,-0.504153431,-0.473153392,7.082761407
8138-12702,-0.415953881,-0.331519201,15.15843844
8138-12704,-0.19803642,-0.086178924,15.57419968
8138-12705,-0.255255049,-0.19422427,5.854627728
8138-1901,-0.519016593,-0.211895384,22.56223917
8138-3701,-0.360719594,-0.229903153,10.94987464
8138-3702,0.158170359,0.314213973,3.54942733
8138-3703,-0.088066077,-0.359600529,1.786996752
8138-3704,-0.416751675,-0.70950075,29.12180519
8138-6101,-0.269482824,0.231442295,49.8465929
8138-6102,-0.060680694,0.032419067,7.511451244
8138-6103,-0.372025096,-0.394924944,9.222561121
8138-6104,-0.564765447,-0.221246866,6.56882143
8138-9101,-0.07210888,0.187177347,4.614521623
8138-9102,-0.230810146,-0.38585578,16.03195286
8139-12701,-0.673018583,-0.071400913,5.773243904
8139-12702,-0.899169865,0.357203816,77.1166153
8139-12703,-1.147860511,0.063548391,3.950015783
8139-12704,-0.893624541,0.14916833,8.839081764
8139-12705,-0.194399675,-0.312686763,6.709089756
8139-1901,-0.52536904,-0.220336416,2.683835864
8139-1902,-0.456765318,-0.62001251,27.75172853
8139-3701,0.082470107,-0.219296457,0.791057929
8139-3702,-0.851728746,-0.180924011,13.35523629
8139-3703,-0.655345298,-0.017319836,17.43076849
8139-3704,-0.018215127,-0.005370138,7.809825182
8139-6101,0.061257914,0.280372797,3.067190826
8139-6102,0.001765848,-0.881307442,0.424330284
8139-6103,-0.740915583,0.041262658,29.87616825
8139-6104,0.235813203,0.468723233,2.072268337
8139-9101,-0.713794828,0.031519976,11.42918158
8139-9102,0.104541145,-0.005274408,3.551856458
8140-12701,-0.652828342,-0.039235537,0.390255282
8140-12702,-0.407657917,-0.385324515,15.02188826
8140-12703,0.028780203,0.238994234,8.783134222
8140-12704,-0.559526207,-0.173653501,14.48839545
8140-12705,-0.559663643,-0.274160465,7.19148314
8140-1901,-0.215197346,0.386475444,0.207202338
8140-1902,-0.423724943,-0.605326337,40.96828079
8140-3701,-0.439972843,-0.527938121,61.12220097
8140-3702,-0.000754683,0.1712321,4.925632715
8140-3703,-1.67927444,-0.929253435,0.16228677
8140-3704,0.154937256,0.408346528,0.621505752
8140-6101,-0.025608307,0.13441638,2.670988142
8140-6102,-0.453473793,-0.463249384,8.117362738
8140-6103,0.168650254,0.32880046,5.318851948
8140-6104,-0.540276671,-0.157150305,13.52811527
8140-9101,-0.644787311,-0.147092895,9.908466101
8140-9102,0.278409389,0.278003521,2.072627753
8141-12701,-0.259612583,-0.422620878,27.98689747
8141-12702,-0.453016497,-0.600736888,22.3747282
8141-12703,-0.083007716,0.078076562,5.072483897
8141-12704,-0.320852298,-0.184821655,6.92893362
8141-12705,-0.127921308,0.066492981,1.557918668
8141-1901,-0.102609483,0.761643881,30.9402914
8141-1902,0.127194956,-0.378706289,0.428060154
8141-3701,-0.136749814,-0.090858284,9.661866188
8141-3702,-0.41169229,-0.235426626,14.2359128
8141-3703,-0.044788916,0.055508797,0.545429915
8141-3704,0.101968103,0.384520398,1.210451633
8141-6101,0.089140348,0.2614767,2.142872512
8141-6102,-0.030467248,0.237428895,8.775348186
8141-6103,-0.070431328,0.060532005,7.283549786
8141-6104,0.093978689,-0.464462432,0.211845209
8141-9101,0.054657663,0.215154969,0.900651932
8141-9102,-0.487746119,-0.437859193,20.47801685
8143-12701,-0.297506364,-0.79422745,0.899196386
8143-12702,-0.410041825,-0.521145968,8.093520164
8143-12703,-0.632217179,-0.166771271,7.169795036
8143-12704,-0.01818402,0.067275286,23.94621563
8143-12705,-0.358936009,-0.352969673,3.404829264
8143-1901,-0.14545298,0.211755657,21.51235723
8143-1902,-0.628776536,0.191730419,0.681012034
8143-3701,-0.267376874,0.718575988,0.387521923
8143-3702,-0.06245158,0.163856264,3.611794353
8143-3703,-0.275646426,-0.030809555,4.334550261
8143-3704,-0.431624517,0.208850077,3.851073444
8143-6101,0.278454129,0.790214996,17.55707979
8143-6102,-0.630109606,-0.099674029,6.040496826
8143-6103,0.237846005,0.222228688,4.236692429
8143-6104,-0.11001882,-0.099505817,9.153320313
8143-9101,-0.317078465,-0.007616751,2.928243935
8143-9102,-0.4471144,-0.726006745,11.00073051
8144-1901,-0.018076796,-0.346069251,0.849700411
8146-12703,0.163172331,0.757428336,1.574946105
8150-12701,-0.463515755,-0.361721527,39.67114925
8150-12702,-0.852526956,-0.077539779,4.762063185
8150-12703,-0.524265123,-0.215593805,1.316972762
8150-12704,-0.275766679,0.08726756,3.113507569
8150-12705,-0.71522114,-0.028661168,10.69572115
8150-1901,0.131333389,0.109475153,2.791024029
8150-1902,-0.417808575,-0.714091879,69.41103172
8150-3701,-1.294057558,0.336732376,186.4870186
8150-3702,-0.739314786,0.188635832,19.64586782
8150-3703,-0.423958297,-0.139832673,2.257286072
8150-3704,-0.148382926,0.2701765,0.262382772
8150-6101,-0.395782862,-0.513931094,31.98800611
8150-6102,0.025552075,0.557054038,3.569419444
8150-6103,-0.565508633,-0.324257465,241.408268
8150-6104,0.110787531,0.231300248,12.34571266
8150-9101,-0.1032237,0.370074015,4.59943068
8150-9102,-0.327538121,-0.415045117,35.02578068
8152-12701,-0.505920657,-0.345519874,12.99230075
8152-12702,-1.114783097,0.193947423,20.01652861
8152-12703,-0.43284813,-0.312565021,4.308384299
8152-12704,-0.701044138,-0.16855974,15.09866261
8152-12705,-0.44972823,-0.309892731,9.471380949
8152-1901,-0.39810418,-0.501211835,30.99345016
8152-1902,0.023281472,-0.053726296,1.112466574
8152-3701,-0.689048325,0.015126006,18.20418262
8152-3702,-0.355634204,-0.319585939,3.847811162
8152-3703,-0.360030511,0.039477742,14.76265049
8152-3704,-0.75339328,0.24917544,51.64409351
8152-6101,-0.346334455,-0.353815261,2.865031898
8152-6102,0.004293457,0.202747782,16.6386075
8152-6103,-0.033772862,0.146274906,8.186073899
8152-6104,-0.100429639,-0.150135101,6.432579994
8152-9101,-0.338374241,-0.408666998,7.421136856
8152-9102,0.223463815,0.493106082,7.671239018
8239-12701,-0.159372597,0.107080789,0.944622457
8239-12702,-0.160634223,-0.073933784,3.690554917
8239-12703,-1.076211791,0.014797834,4.720881462
8239-12704,-0.581558477,-0.160493153,87.23133659
8239-12705,-0.44722287,-0.841544411,8.136721134
8239-1901,-0.66727533,0.081629517,40.37315655
8239-1902,-0.473306906,-0.233959197,8.897888899
8239-3702,-0.71390194,-0.042827093,14.14818239
8239-3703,-1.006164565,0.063238848,1.334473908
8239-3704,-0.449826435,-0.545305975,13.95891762
8239-6101,-0.481588842,-0.461627481,13.06843042
8239-6102,-0.45817774,-0.263662936,4.488643646
8239-6103,0.100576295,0.215619584,0.506604105
8239-6104,-0.079901868,-0.539408295,0.367219617
8239-9101,-0.44516793,-0.530694097,12.59912539
8239-9102,-0.449382827,-0.305122913,3.638180315
8240-12701,-0.28372971,-0.309411286,7.440054536
8240-12702,-0.020480574,-0.107915991,3.330794036
8240-12703,0.229168844,-0.050248818,0.722191885
