Name,plateifu,MANGAID,objra,objdec,Type,TType,Unsure,Bars,Edge_on,Tidal,C,E_C,A,E_A,S,E_S,cas_flag
manga-10508-3703 ,10508-3703 ,1-151120 ,183.204134464,52.9033000181,Edc        ,-5,0,0.0,0,1,4.284,0.237,0.049,0.003,0.06,0.0565,1
manga-10508-3704 ,10508-3704 ,1-576079 ,182.273026767,51.417038812,Edc        ,-5,0,0.0,0,1,3.163,0.416,0.106,0.495,0.04,0.056,1
manga-10508-6101 ,10508-6101 ,1-175865 ,183.371989926,50.7415293109,S0         ,-2,0,0.0,0,1,4.478,0.128,0.092,0.032,-0.05,0.062,1
manga-10508-6102 ,10508-6102 ,1-151019 ,181.36829764,51.4799396339,E          ,-5,0,0.0,0,0,4.037,0.242,0.117,0.034,0.04,0.086,1
manga-10508-6103 ,10508-6103 ,1-150947 ,183.263994977,51.6485972672,Sb         ,3,0,0.0,0,1,2.438,0.194,0.573,0.008,0.41,0.2575,0
manga-10508-6104 ,10508-6104 ,1-576083 ,183.575710733,52.9413010253,SABb       ,3,0,0.5,0,0,3.105,0.315,0.167,0.007,0.14,0.1355,1
manga-10508-9101 ,10508-9101 ,1-150586 ,180.868184509,51.7155799645,E          ,-5,0,0.0,0,0,4.513,0.216,0.072,0.008,-0.03,0.0585,1
manga-10508-9102 ,10508-9102 ,1-150965 ,183.38826,52.30109,Sa         ,1,0,0.0,1,1,2.881,0.262,0.241,0.013,0.33,0.2995,1
manga-10509-12701,10509-12701,1-278136 ,167.847347825,47.3658048887,SBcd       ,6,0,1.0,0,1,2.916,0.151,0.593,0.011,0.47,0.316,0
manga-10509-12702,10509-12702,1-278113 ,167.133630157,47.3363337264,SABab      ,2,0,0.5,0,0,3.332,0.186,0.146,0.005,0.14,0.124,1
manga-10509-12703,10509-12703,1-613473 ,168.545376088,48.318515932,SABc       ,5,0,0.5,0,0,3.226,0.064,0.31,0.379,-25.93,1.2125,0
manga-10509-12704,10509-12704,1-576122 ,168.40611,47.48706,Edc        ,-5,0,0.0,0,0,4.699,0.187,0.252,0.019,0.41,0.309,1
manga-10509-12705,10509-12705,1-278185 ,167.503109526,46.7033038272,S0a        ,0,0,0.0,0,1,4.029,0.293,0.303,0.01,0.18,0.1565,1
manga-10509-1901 ,10509-1901 ,1-173724 ,166.612357587,47.7460499633,S0a        ,0,1,0.0,0,0,2.859,0.397,0.116,0.002,0.03,0.0445,1
manga-10509-1902 ,10509-1902 ,1-278195 ,168.06395216,46.9695036868,Sb         ,3,1,0.0,0,0,2.428,0.287,0.077,0.01,0.08,0.1565,1
manga-10509-3701 ,10509-3701 ,1-278159 ,166.871220787,46.354465407,SBb        ,3,0,1.0,0,1,2.834,0.354,0.123,0.041,0.14,0.195,1
manga-10509-3702 ,10509-3702 ,1-277533 ,166.369848301,46.8211966096,Edc        ,-5,0,0.0,0,1,4.115,0.292,0.194,0.002,0.31,0.123,1
manga-10509-3703 ,10509-3703 ,1-278183 ,167.73444531,46.9441243017,SBcd       ,6,0,0.75,0,0,2.553,0.221,0.223,0.007,0.18,0.1815,1
manga-10509-3704 ,10509-3704 ,1-278191 ,167.564300838,46.4415246751,SABb       ,3,0,0.5,1,0,2.907,0.233,0.112,0.005,0.15,0.129,1
manga-10509-6101 ,10509-6101 ,1-277489 ,165.616654867,46.9392146212,Sbc        ,4,0,0.0,0,1,2.933,0.313,0.141,0.006,0.05,0.085,1
manga-10509-6102 ,10509-6102 ,1-588259 ,168.605214944,47.3792595864,SABdm      ,8,0,0.5,0,0,2.467,0.197,0.172,0.009,0.31,0.259,1
manga-10509-6103 ,10509-6103 ,1-173676 ,167.481550331,47.8018451869,Sc         ,5,0,0.0,1,0,3.53,0.271,0.107,0.222,0.45,0.0315,1
manga-10509-6104 ,10509-6104 ,1-173966 ,167.556889958,48.9514621448,Sbc        ,4,0,0.0,0,0,2.499,0.25,0.145,0.522,0.41,0.1895,1
manga-10509-9101 ,10509-9101 ,1-576127 ,168.532451815,47.8043091248,Sbc        ,4,0,0.0,0,0,3.621,0.206,0.157,0.008,-0.05,0.082,1
manga-10509-9102 ,10509-9102 ,1-278209 ,168.514656333,47.4482027361,E          ,-5,0,0.0,0,0,4.042,0.376,0.145,0.009,0.14,0.141,1
manga-10510-12701,10510-12701,1-189134 ,177.024570744,54.6462764388,SAB0a      ,0,0,0.25,0,0,5.126,0.147,0.268,0.019,0.62,0.318,0
manga-10510-12702,10510-12702,1-189066 ,179.75915,54.81046,SABa       ,1,0,0.25,0,0,3.538,0.283,0.115,0.008,-0.1,0.1075,1
manga-10510-12703,10510-12703,1-241291 ,178.823264014,56.3043213245,SABc       ,5,0,0.5,0,0,2.991,0.107,0.329,0.036,0.54,0.561,1
manga-10510-12704,10510-12704,1-189584 ,179.117267145,55.1252090259,Sc         ,5,0,0.0,0,0,2.662,0.065,0.188,0.002,0.44,0.155,1
manga-10510-12705,10510-12705,1-189495 ,181.255864886,54.0671182525,SABab      ,2,0,0.5,0,1,3.388,0.178,0.665,0.015,0.64,0.178,0
manga-10510-1901 ,10510-1901 ,1-189283 ,178.779249963,55.2427321186,S0         ,-2,0,0.0,0,0,2.815,0.572,0.139,0.003,0.2,0.0715,1
manga-10510-1902 ,10510-1902 ,58-46    ,179.95752263,54.801987181,BCD        ,10,1,0.0,0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999
manga-10510-3701 ,10510-3701 ,1-189075 ,178.939510285,54.6758837523,Edc        ,-5,0,0.0,0,0,3.474,0.375,0.057,0.008,0.0,0.018,1
manga-10510-3702 ,10510-3702 ,1-189212 ,178.213821193,55.7918458313,E          ,-5,0,0.0,0,0,3.571,0.459,0.182,0.5,0.1,0.104,1
manga-10510-3703 ,10510-3703 ,1-241570 ,179.944205135,56.1997866856,E          ,-5,0,0.0,0,0,3.178,0.418,0.078,0.003,0.17,0.1015,1
manga-10510-3704 ,10510-3704 ,1-189376 ,181.013986765,55.2049141816,S0         ,-2,0,0.0,0,0,3.281,0.319,0.058,0.006,0.06,0.077,1
