plateifu,avg_emline_sflux_cen_oiii_5008,avg_emline_sflux_cen_hb_4862,avg_emline_sflux_cen_nii_6585,avg_emline_sflux_cen_ha_6564,avg_emline_sew_peak_ha_6564,avg_objdec,avg_stellar_vel_lo,avg_stellar_vel_hi,avg_stellar_sigma_1re,avg_ha_z,avg_ha_gsigma_1re,avg_emline_sflux_cen_oiid_3728,avg_emline_sflux_cen_h12_3751,avg_emline_sflux_cen_h11_3771,avg_emline_sflux_cen_hthe_3798,avg_emline_sflux_cen_heta_3836,avg_emline_sflux_cen_neiii_3869,avg_emline_sflux_cen_hzet_3890,avg_emline_sflux_cen_heps_3971,avg_emline_sflux_cen_hdel_4102,avg_emline_sflux_cen_hgam_4341,avg_emline_sflux_cen_heii_4687,avg_emline_sflux_cen_hb_48621,avg_emline_sflux_cen_oiii_4960,avg_emline_sflux_cen_oiii_50081,avg_emline_sflux_cen_ni_5199,avg_emline_sflux_cen_hei_5877,avg_emline_sflux_cen_oi_6302,avg_emline_sflux_cen_oi_6365,avg_emline_sflux_cen_nii_6549,avg_emline_sflux_cen_ha_65641,avg_emline_sflux_cen_nii_65851,avg_emline_sflux_cen_sii_6718,avg_emline_sflux_cen_sii_6732,avg_emline_sflux_cen_hei_7067,avg_emline_sflux_cen_ariii_7137,avg_emline_sflux_cen_ariii_7753,avg_emline_sflux_cen_peta_9017,avg_emline_sflux_cen_siii_9071,avg_emline_sflux_cen_pzet_9231,avg_emline_sflux_cen_siii_9533,avg_emline_sflux_cen_peps_9548
8603-3701,12.23279393,14.58315799,27.70136428,19.77522063,1.605223089,39.40103531,-191.8177719,221.8154297,177.3988075,0.029596184,560.1653214,-0.964185968,3.487653375,0.14562875,12.23804599,-5.733319283,14.59901166,5.675048411,-3.410764456,-4.483462036,7.594614625,-7.131699681,14.58315799,-1.844107628,12.23279393,13.67859483,-6.975418173,-7.250761241,3.842115358,8.446039796,19.77522063,27.70136428,8.492906928,0.681388736,7.568862021,2.889529884,1.470989361,9.843550801,9.942381859,2.675210297,3.15445897,9.403727889
8603-3702,13.8769269,21.88519621,31.40787888,21.52689505,1.374224365,40.69560242,-166.4642601,219.1928558,157.4812508,0.033115888,477.3829651,7.46746707,0.519532539,-0.700062916,3.198580503,-6.613808155,1.168980002,4.802328765,5.028175235,-5.964403152,13.80184484,-2.454913307,21.88519621,3.786116719,13.8769269,9.062661409,0.429041326,-1.331244469,-7.706474185,6.146717429,21.52689505,31.40787888,17.11448312,13.6597681,10.81207609,4.480004668,2.419662356,21.41686869,-9.788804293,1.183864892,0.352824628,-0.064649314
8603-3703,17.01417184,10.97073334,19.39818025,11.45794153,1.592761725,40.49728775,-141.2652283,178.2791939,152.9104309,0.033355139,419.6510582,-3.107802629,3.023728132,3.114007533,3.176082104,4.210779846,12.91914093,6.349202543,7.911474824,-5.885862112,2.565207526,-3.297140524,10.97073334,2.683264554,17.01417184,8.681275308,6.258511543,-1.885184526,-0.541157275,4.264655113,11.45794153,19.39818025,8.374310851,21.47395277,-9.732064962,7.832739949,1.681724072,-7.170737028,-7.625951767,-4.698070526,3.299969733,3.91168347
8603-3704,25.86992931,17.49493334,33.78390551,34.45156527,2.176075518,39.16782761,-195.0093651,194.6818771,184.0182419,0.030345841,509.2391739,8.317594886,5.063491821,-4.005346715,12.89756036,-7.117391706,6.138888061,7.672512591,6.232751966,-9.46535635,16.70591497,-9.804638267,17.49493334,2.542524591,25.86992931,25.42517233,-6.007766008,-11.41816664,-2.130652413,20.36619616,34.45156527,33.78390551,15.36707711,11.83014989,2.83531788,17.31742191,4.432528809,10.8491869,15.99950767,-3.616063058,9.478205919,13.30536318
8603-6101,93.04512596,82.45257378,580.6085968,304.4612427,19.59193039,39.55126572,-278.452858,652.3115845,387.0077972,0.031195636,294.3984451,349.7536545,-2.614059329,1.765332736,17.22592545,11.84776366,35.35975933,17.5786438,23.67476749,9.004074097,45.37144279,-2.92656517,82.45257378,21.26064444,93.04512596,45.29197025,10.3067286,52.55969906,15.48015904,212.2067566,304.4612427,580.6085968,140.2074051,117.0627193,5.087764621,11.18735576,8.119766474,9.027522087,21.8878293,1.348064438,35.93230057,10.95841861
8603-6102,6.243460178,8.103352229,-3.617271662,4.849668503,0.53503412,39.46315765,-104.6334559,136.9850311,112.0061798,0.026751822,554.0249023,-1.06943655,-0.933700383,1.531673431,7.420171261,1.882332126,18.06095632,4.865368048,-4.4406449,-1.41846172,2.093541026,-3.561874628,8.103352229,-2.475061337,6.243460178,5.738020897,2.269991239,-1.948793332,7.147215684,1.254426996,4.849668503,-3.617271662,-13.62683328,-9.318417867,6.189409574,5.080755552,-2.920929631,1.692916115,2.223044395,2.372305473,-0.153476427,2.169635852
8603-6103,30.54041338,125.1311321,195.9964905,603.6671295,33.36539268,40.421875,-132.2470932,121.5259094,78.04568672,0.026986068,42.13983059,150.87957,3.267237544,3.247375131,-4.665610552,4.052219391,13.5925324,24.70093775,8.150120616,24.87419319,47.12750244,4.395110548,125.1311321,9.537813425,30.54041338,8.453311682,17.7514801,12.7222681,7.571657419,68.3249321,603.6671295,195.9964905,109.7310009,78.44524002,4.416161299,4.891167045,-1.63812381,4.170761883,27.24747276,15.66405678,93.8543911,16.00161052
8603-6104,21.88407946,11.69594812,43.6706562,51.60420322,3.136082113,40.6869545,-142.2563171,160.7554321,111.7352219,0.030546165,75.87434769,23.79629993,-1.828580469,3.532945931,9.343932509,7.522501111,11.05673742,4.555760264,1.48982517,0.945100024,11.35966563,-2.2582829,11.69594812,6.12124908,21.88407946,6.733497024,12.34694147,8.250911117,0.279312108,16.55255222,51.60420322,43.6706562,26.24185324,15.68236279,8.599963903,-0.328293119,13.70712185,-2.482963651,-18.07832146,6.868430734,9.068488598,8.675842404
8603-9101,8.595182419,7.14888531,5.725510001,6.512630999,1.983102739,40.86661148,-77.75858116,91.79938126,126.717123,0.031187397,438.0763092,-8.833438039,3.353522182,8.435653687,2.066326886,9.661248326,9.668431379,3.339081645,1.329539597,-0.756623916,17.99009466,-8.070754766,7.14888531,0.292691708,8.595182419,10.87229514,1.783200353,-2.218690515,-3.651736975,4.974672437,6.512630999,5.725510001,3.954992592,4.133593798,1.82279411,1.630708635,18.37188339,4.666356534,14.94654536,6.664120674,0.478891015,-0.361602396
8603-9102,13.11941648,33.57185364,77.18729973,162.9042015,19.32972813,39.53120422,-97.75483322,98.57397079,56.7957449,0.0360031,31.20863819,38.11845779,2.518882215,2.154401422,-3.456949949,6.305061579,2.858678326,7.973181248,4.923852563,10.97816396,15.19777584,0.460293695,33.57185364,2.695225656,13.11941648,7.509695888,-1.414034262,7.263326049,4.896110415,29.10465956,162.9042015,77.18729973,27.17415428,22.86628151,1.274090022,0.486528784,-1.156938016,25.10676622,19.5901022,-7.694522381,4.274886131,4.687176228
8604-12701,36.69459724,9.550119042,63.40274334,45.5791893,3.099735796,39.12109756,-69.41503143,69.83734512,118.2352276,0.035097897,35.129179,41.41005611,2.620314687,5.977803588,-2.169797897,6.154544115,4.673346877,-0.786652237,1.333958,1.426151723,10.59116118,-0.264297754,9.550119042,7.501307845,36.69459724,15.17869139,-15.876158,4.566045761,1.921996951,22.47261286,45.5791893,63.40274334,33.15794373,21.75128078,4.980652332,1.686744153,-69.44538689,4.559775181,8.793047786,-0.637218863,14.62686062,14.73831964
8604-12702,36.10396099,113.519537,407.4783783,859.1886139,50.6991806,39.1275444,-147.3123932,138.2036896,81.52173233,0.035350035,92.50280952,116.9701157,-1.897375047,4.797856092,1.014792107,11.95363331,5.743302017,13.86922526,9.879658103,23.83626318,41.70437241,4.892246842,113.519537,12.7005899,36.10396099,14.45756936,18.14881706,28.84606838,6.870588422,137.9393806,859.1886139,407.4783783,156.4848595,122.1128635,4.127487421,4.936454296,-3.55284214,9.513220072,80.47410393,14.84533048,224.6280632,37.75186348
8604-12703,95.64838028,24.72090435,173.7301292,95.09663391,5.160701275,39.83850479,-140.6571922,172.8219948,122.4444542,0.030597224,98.67192841,134.1787567,-1.998639643,7.479984045,8.702147245,14.54341936,34.3584218,18.43596697,5.830176473,2.444199622,12.74161506,-7.32373184,24.72090435,27.48017263,95.64838028,19.29318571,-0.844908565,9.391333818,7.072482228,59.81675625,95.09663391,173.7301292,53.141325,30.34651136,2.223925948,3.331963837,8.221289396,0.360044658,3.990759045,15.27902412,20.88393259,0.299870253
8604-12704,12.2616725,54.67411041,77.6933136,260.0108871,42.71595287,40.12371445,-139.3035583,92.12932968,66.45594215,0.025761361,33.71986103,38.22457314,3.058542252,0.32586924,4.190455556,-1.929766178,14.67521214,16.37688303,8.721374989,13.01938748,19.85342979,-0.246418998,54.67411041,1.984855443,12.2616725,2.797437549,0.903251722,7.68742609,3.091342747,27.49330235,260.0108871,77.6933136,30.50257254,22.4877696,0.675264642,0.38109526,-1.350213259,0.683712743,6.85240519,1.119754985,15.99284434,0.524178848
8604-12705,31.71069717,17.67202115,33.43317986,32.3212595,2.153975934,39.47383881,-60.66640568,69.65381622,134.1589432,0.027229909,188.9411545,21.3375473,5.333325803,1.693806905,8.43925333,-7.055956364,9.512997329,10.80719876,-1.971541449,2.082305729,7.53253758,-1.992826939,17.67202115,8.742509961,31.71069717,4.933880329,-4.514657199,-0.615079854,8.935469389,19.7687645,32.3212595,33.43317986,13.45218635,8.345375061,3.534720302,-0.16550079,-3.505490005,4.882056296,-18.74257898,3.968237519,7.890265107,1.501220047
8604-1901,20.86234474,22.3627828,10.38394801,7.173744361,0.942752421,39.81053925,-87.49571991,98.19229889,200.5832774,0.031594455,697.4082845,-2.941409349,1.459882975,-1.581515511,6.047186693,2.967583418,10.79655488,-2.732236226,6.821333408,-15.40892506,15.37577216,2.01609695,22.3627828,-0.512092719,20.86234474,7.004444122,-8.506078084,-5.66827774,-0.806587934,14.08184751,7.173744361,10.38394801,0.098689934,-0.84732012,-2.909629345,3.294007142,-39.5200971,4.381188711,-3.298712333,-0.512780269,-9.182959557,2.117996454
8604-1902,7.649522901,3.47173113,3.233441114,1.395653397,0.458599456,39.65588379,-71.70555019,95.21801376,118.4523029,0.032533864,433.6584702,2.899006009,0.866870984,-0.465441711,-0.918595731,1.242559016,5.906952202,1.328718491,2.108304292,-3.807338059,3.606378108,-2.049000204,3.47173113,6.230641842,7.649522901,5.783821821,2.498058587,-4.244596183,-1.80666405,1.174852327,1.395653397,3.233441114,0.725806147,0.250075277,2.313876152,0.709515914,1.701849192,1.731871277,-0.091400154,0.318838954,2.679088354,2.218564808
8604-3701,7.264472961,9.197608312,1.960885763,2.466228088,0.437224398,39.49572754,-26.06311735,42.41959127,125.1908569,0.028770539,485.4859212,3.921478987,1.765048345,2.399845759,6.379070441,0.055669956,13.70102628,5.288931688,-5.988610903,-1.12380298,9.359376589,-2.667221546,9.197608312,-1.206459721,7.264472961,6.347422282,1.364394506,-4.7769804,-0.610153983,1.482319713,2.466228088,1.960885763,5.659974575,0.060772459,1.047215223,5.593948682,3.402081887,-0.026218255,-2.441078186,-1.91592594,0.919582844,7.455157916
