plateifu,Classification,log(N/Ha),log(O/Hb)
11956-12705,SFG,-0.477307443,-0.702498077
11956-1901,Passive,-0.106362207,0.149358398
11956-1902,Passive,-0.329017825,0.93491398
11956-3701,Passive,0.076231997,0.485230461
11956-3703,Passive,0.139811129,0.275471171
11956-3704,SFG,-0.838118024,0.217586749
11956-6101,Passive,-0.867120242,0.031359663
11956-6102,Passive,0.064922458,1.177896233
11956-6103,Passive,0.216614905,0.412011347
11956-6104,Passive,-0.043760702,0.272794782
11956-9101,SFG,-0.544621925,-0.122163546
11956-9102,Unclassified,-0.561037811,-0.35011212
11957-12701,Passive,-0.057493451,0.363615196
11957-12702,SFG,-0.22344632,-0.081168138
11957-12703,Unclassified,-0.133473851,0.119699899
11957-12704,SFG,-0.409819085,-0.632393243
11957-12705,Unclassified,-0.329720498,-0.01978876
11957-1901,Unclassified,-0.132570962,0.429979938
11957-1902,Passive,0.325172409,0.69305467
11957-3701,Passive,0.027685979,0.268171832
11957-3702,Unclassified,0.120578805,0.13999669
11957-3703,Unclassified,-0.391787487,-0.380133135
11957-3704,SFG,-0.36145841,-0.454385922
11957-6101,SFG,-0.308197064,-0.433004243
11957-6102,SFG,-0.545186755,-0.573567994
11957-6103,Unclassified,-0.147983768,0.305348235
11957-6104,Passive,0.187452602,0.088958156
11957-9101,AGN,0.186951832,0.416678791
11957-9102,SFG,-0.409433689,-0.603684016
11983-12701,AGN,0.087029245,0.325036512
11983-12702,SFG,-0.451813035,-0.875299753
11983-12703,Passive,0.354945417,-0.201243592
11983-12704,Passive,-0.539035834,-0.271362002
11983-12705,SFG,-0.241676073,0.294599784
11983-1901,Unclassified,-0.150247278,0.155748054
11983-1902,Passive,-0.574166321,0.669108599
11983-3701,SFG,-0.750320569,0.053537264
11983-3702,SFG,-0.587765103,-0.020416851
11983-3703,SFG,-0.514573789,-0.400908289
11983-3704,Passive,-0.753767538,0.105422395
11983-6101,Passive,0.229320082,0.299994818
11983-6102,Passive,-0.871335363,-0.06322617
11983-6103,Unclassified,-0.073658723,-0.186515371
11983-6104,SFG,-0.714577821,0.002713606
11983-9102,Passive,-0.009897718,0.125839983
12027-12701,SFG,-0.227316918,-0.117060124
12027-12702,AGN,-0.111727122,1.071038806
12027-12703,SFG,-0.356522109,-0.404962783
12027-12704,SFG,-0.347592462,0.023283814
12027-12705,SFG,-0.179208085,-0.29394209
12027-9101,AGN,-0.488176626,3.492600036
12027-9102,Unclassified,-0.077769051,-0.118834265
12028-12701,AGN,-0.063340832,1.021712168
12028-12702,SFG,-0.391345728,-0.148007108
12028-12703,SFG,-0.217575525,-0.639182334
12028-12704,SFG,-0.147601275,-1.1394357
12028-12705,SFG,-0.066493451,-0.007863263
12028-9101,Passive,-0.727038469,-0.277382807
12028-9102,Unclassified,-0.234827954,-0.171394616
12029-12701,SFG,-0.039231708,-0.267267674
12029-12702,SFG,-0.424250004,-0.664839467
12029-12703,SFG,-0.480194432,0.026850753
12029-12704,SFG,-0.227901486,-0.242923831
12029-12705,AGN,-0.202462946,0.510966067
12029-9101,AGN,0.180222819,-0.438504509
12029-9102,SFG,-0.243481165,-0.280888956
12030-12701,AGN,-0.039053656,0.350810641
12030-12702,SFG,-0.450667052,-1.658149841
12030-12703,SFG,-0.315007203,-0.53567326
12030-12704,AGN,-0.335326873,2.024753478
12030-12705,SFG,-0.460677324,-1.279316637
12030-9101,Unclassified,-0.365612746,0.202089427
12030-9102,Unclassified,-0.145424682,1.164495152
12031-12701,SFG,-0.283883351,-0.940185639
12031-12702,SFG,-0.459166509,-0.674327608
12031-12703,SFG,-0.504843512,-1.309920112
12031-12704,SFG,-0.127649074,0.035535276
12031-12705,AGN,-0.592802613,0.642124715
12031-9101,SFG,0.001266191,-1.363591408
12031-9102,Passive,0.167187177,0.940353476
12032-12701,SFG,-0.406410098,0.382251
12032-12702,SFG,-0.421937397,-0.390035163
12032-12703,AGN,-0.296204499,0.731099161
12032-12704,SFG,-0.362430383,-0.441410486
12032-12705,SFG,-0.39983093,-0.299684042
12032-9101,SFG,-0.387423793,-0.347315987
12032-9102,Unclassified,-0.102364939,-0.315453757
12033-12701,SFG,-0.338869929,0.123706999
12033-12702,AGN,-0.245943294,1.18712465
12033-12703,SFG,-0.353281451,-0.312374418
12033-12704,SFG,-0.435112687,-0.238751501
12033-12705,SFG,-0.574574735,0.206792451
12033-9101,SFG,-0.453950458,-0.680220951
12033-9102,Unclassified,0.117137816,-0.760298926
12034-12701,SFG,-0.488666142,-0.437656523
12034-12702,SFG,-0.527425032,-0.515072562
12034-12703,SFG,-0.367716908,-1.122169839
12034-12704,SFG,-0.31476392,-0.622845378
12034-12705,SFG,-0.215793573,-0.58025303
12034-9101,SFG,-0.530079416,0.358165032
12034-9102,Unclassified,-0.010681747,-0.928423323
12035-12701,SFG,-0.314805784,-0.014675691
12035-12702,AGN,-0.166619022,1.347308583
12035-12703,SFG,-0.265526393,-0.811122816
12035-12704,SFG,-0.509724861,-0.043310695
12035-12705,SFG,-0.492362511,-0.816623269
12035-9101,Unclassified,-0.203242086,0.917578594
12035-9102,SFG,-0.600945929,-1.220835794
12036-12701,Unclassified,-0.073091568,0.357940013
12036-12702,SFG,-0.280616317,-0.637826833
12036-12703,SFG,-0.649841499,-0.603773833
12036-12704,SFG,-0.408756887,-1.321631296
12036-12705,AGN,0.059190205,0.046327428
12036-9101,SFG,-0.265256028,0.22080749
12036-9102,SFG,-0.469436661,-0.576943983
12037-12701,SFG,-0.061498915,-0.74037509
12037-12702,SFG,-0.338197534,-0.951766156
12037-12703,SFG,-0.203612594,-1.045198583
12037-12704,SFG,-0.56574087,-0.847227
12037-12705,SFG,-0.401981513,-0.24906496
12037-9101,SFG,-0.456107875,-0.727390945
12037-9102,SFG,-0.420518077,-0.802772841
12038-12701,Unclassified,0.050723712,0.188528612
12038-12702,SFG,-0.397247124,-1.030275398
12038-12703,SFG,-0.505373194,-0.772571657
12038-12704,SFG,-0.487610306,-0.546773089
12038-12705,AGN,-0.190421575,0.324810598
12038-9101,SFG,-0.420850794,0.04518834
12038-9102,SFG,-0.440651418,-0.853744226
12039-12701,SFG,-0.070234679,-0.066276006
12039-12702,SFG,-0.319849264,0.270083617
12039-12703,SFG,-0.454268764,-0.69018862
12039-12704,Unclassified,-0.083028087,-0.777175111
12039-12705,Passive,0.056401441,0.240113754
12039-9101,AGN,-0.519938793,0.596779723
12039-9102,SFG,-0.194907008,-0.58010934
12040-12701,AGN,0.123076846,-0.021466649
12040-12702,Unclassified,-0.213614837,0.252282499
12040-12703,SFG,-0.161814934,-0.516656306
12040-12704,AGN,0.019563811,0.441667577
12040-12705,Passive,0.362353956,-0.038322693
12040-9101,SFG,-0.463406113,0.095198268
12040-9102,Passive,0.120300628,0.393634629
12041-12701,SFG,-0.318748374,0.129054546
12041-12702,Unclassified,-0.17417561,0.266937475
12041-12703,SFG,-0.19602896,-0.083170091
12041-12704,SFG,-0.128880778,-0.712181595
12041-12705,SFG,-0.61811665,0.068714511
12041-9101,AGN,-0.313659948,1.411608838
12041-9102,AGN,-0.023327389,1.014015355
12042-12701,SFG,0.065082206,-0.459523662
12042-12702,SFG,-0.328483124,-0.081243531
12042-12703,SFG,-0.362498083,-1.054083724
12042-12704,SFG,-0.592909744,-0.334460492
12042-12705,SFG,-0.253386882,-0.163081162
12042-9101,SFG,-0.349128122,0.055277139
12042-9102,SFG,-0.239101476,-0.734754125
12043-12701,SFG,-0.402530386,-0.182096149
12043-12702,SFG,-0.424080819,-0.302859062
12043-12703,SFG,-0.076233968,-0.923288731
12043-12704,SFG,-0.24570784,-0.058884891
12043-12705,AGN,-0.263040302,0.872023624
12043-9101,AGN,-0.167901404,0.394637209
12043-9102,SFG,-0.171803332,0.213739582
12044-12701,SFG,-0.465243996,-0.498798376
12044-12702,SFG,-0.405605269,-0.714679778
12044-12703,SFG,-0.516639654,0.426598835
12044-12704,AGN,0.382273149,-0.743455332
12044-12705,SFG,-0.096378684,-1.070886156
12044-9101,SFG,-0.377720976,-0.576848017
12044-9102,SFG,-0.426568168,-1.028021832
12045-12701,SFG,-0.595759827,-0.766955811
12045-12702,AGN,-0.476423968,0.781534065
12045-12703,SFG,-0.126396302,-0.2699934
12045-12704,SFG,-0.263827103,-0.574567328
12045-12705,AGN,0.211478783,-0.028961014
12045-9101,SFG,-0.55185605,-1.355918955
12045-9102,SFG,-0.51383288,-0.678268939
12046-12701,SFG,-0.439655291,-0.606177492
12046-12702,SFG,-0.252863853,-0.099389952
12046-12703,SFG,-0.436898278,-1.496002664
12046-12704,SFG,-0.19996519,0.226606912
12046-12705,SFG,-0.202180847,-0.166612548
12046-9101,SFG,-0.427698852,0.282082078
12046-9102,SFG,-0.300740757,-0.908536509
12047-12701,AGN,-0.388274236,0.671303443
12047-12702,SFG,-0.44700337,-2.224499417
12047-12703,SFG,-0.32193739,-0.908621472
12047-12704,SFG,-0.055948964,-0.189397184
12047-12705,SFG,-0.135131816,-0.117873955
12047-9101,SFG,-0.440440925,0.067055357
12047-9102,SFG,-0.308688061,-0.458634992
12048-12701,SFG,-0.139487555,-0.953335005
12048-12702,SFG,-0.332648422,-0.385131354
12048-12703,SFG,-0.36353207,-2.012552872
12048-12704,SFG,-0.600734812,-0.835303765
12048-12705,SFG,-0.378019002,-1.04347276
12048-9101,Unclassified,-0.060186172,0.081487583
12048-9102,Passive,-0.051522531,-0.544344484
12049-12701,SFG,-0.636817356,-1.004816809
12049-12702,SFG,-0.176617859,0.231670771
12049-12703,SFG,-0.43844761,-0.475690233
12049-12704,SFG,-0.500282609,-0.283749012
12049-12705,SFG,-0.394910884,0.159169367
12049-9101,Passive,0.475031594,0.615475459
12049-9102,Passive,0.089494062,-0.266167529
12050-12701,AGN,0.273888217,0.42997615
12050-12702,SFG,-0.371121081,-0.917110551
12050-12703,SFG,-0.378763995,-0.458283997
12050-12704,SFG,-0.46888817,-0.181386134
12050-12705,AGN,-0.127477106,0.225221422
12050-9101,SFG,-0.295925004,-0.273822104
12050-9102,SFG,-0.368093374,0.191332168
12483-12701,Unclassified,0.071126261,0.214461958
12483-12702,SFG,-0.389797314,-0.181054559
12483-12703,SFG,-0.377281244,-0.532231332
12483-12704,SFG,-0.284157088,-0.712035963
12483-12705,Unclassified,0.179553104,0.475644852
12483-1901,SFG,-0.55383543,0.019200952
12483-1902,SFG,-0.678807312,0.0553351
12483-3701,Passive,0.179701644,0.258544391
12483-3702,Passive,-0.263884204,0.7376683
12483-3703,Passive,-0.642772059,-0.117651508
12483-3704,Passive,0.524670565,0.556552976
12483-6101,Passive,0.326296295,0.392945867
12483-6102,Unclassified,0.031883732,0.219338726
12483-6103,SFG,-0.54264558,-0.40980399
12483-6104,SFG,-0.416777922,-0.255421755
12483-9101,SFG,-0.39150028,-0.337345858
12483-9102,AGN,-0.688888522,0.838741173
12484-12701,Unclassified,0.177815462,0.566931102
12484-12702,SFG,-0.415287348,-0.365867918
12484-12703,Unclassified,-0.516896516,-0.206161065
12484-12704,SFG,-0.458889139,-0.317901529
12484-12705,SFG,-0.323900139,-0.445019765
12484-1901,SFG,-0.300921355,0.166241112
12484-1902,Passive,0.362606406,0.376756255
12484-3701,Passive,0.039847745,0.265943343
12484-3702,Passive,-0.160925594,0.351441084
12484-3703,SFG,-0.440049162,-0.540759409
12484-3704,Unclassified,-0.272580606,-0.253223446
12484-6101,Passive,0.186188015,0.24074406
12484-6102,AGN,0.167867808,0.037306486
12484-6103,Unclassified,-0.402064541,-0.355555995
12484-6104,Passive,0.276164639,0.106795812
12484-9101,Unclassified,-0.294772075,-0.397257651
12484-9102,Passive,0.035805122,0.227265645
12485-12701,Passive,0.488643206,-0.243504299
12485-12702,SFG,-0.976843574,0.340987901
12485-12703,Unclassified,0.09771539,0.211248421
12485-12704,Unclassified,-0.474547301,-0.334302729
12485-12705,Unclassified,-0.520191002,-0.081777257
12485-1901,SFG,-0.406466603,-0.277660294
12485-1902,Passive,-0.079220607,0.692820961
12485-3701,Passive,-0.102723059,0.048048765
12485-3702,Unclassified,-0.196322041,0.064617401
12485-3703,Unclassified,0.012596195,0.181520961
12485-3704,Passive,0.096488449,0.23620891
12485-6101,Passive,0.132013829,0.274720989
12485-6102,SFG,-0.54336328,-0.236750107
12485-6103,Passive,-1.041174947,-0.66513272
12485-6104,AGN,0.282651963,0.147780512
12485-9101,Passive,-0.230134742,-0.738816289
12485-9102,SFG,-0.577865181,-0.112400491
12487-12703,Passive,0.19913585,0.150126032
12487-1902,SFG,-0.668655844,0.33986318
12487-3701,Unclassified,0.139990883,0.468937578
12487-3702,AGN,-0.053430714,0.505760044
12487-3703,Unclassified,-0.455814037,-0.625616216
12487-6103,SFG,-0.485554908,-0.708355038
12487-6104,AGN,0.237957033,0.227011485
12488-6103,Passive,-0.144468998,0.36657966
12620-12702,AGN,0.260649003,0.395853888
12620-12703,SFG,-0.421923442,-0.527399803
12620-12704,SFG,-0.425811444,-0.688514757
12620-1901,SFG,0.603684994,0.383223104
12620-1902,Passive,0.003854003,1.612260591
12620-3702,AGN,0.208388434,0.262541266
12620-3703,SFG,-0.21457895,0.107205365
12620-6101,SFG,-0.656044456,-0.017545263
12620-6103,AGN,0.292888959,0.281845777
12620-9102,SFG,-0.469563316,-0.7139478
12621-12701,SFG,-0.280149539,-0.508961237
12621-1901,SFG,-0.400732503,-0.32122927
12621-1902,SFG,-0.313100884,-0.147268046
12621-3702,Passive,1.521741288,-0.113617311
12621-3703,Passive,0.296856974,0.41373056
12621-6103,SFG,-0.266086825,-0.375738066
12621-9101,Passive,0.147030475,0.522846098
12622-12701,Unclassified,-0.331660208,-0.284167496
12622-12702,AGN,0.225011571,0.202887213
12622-12703,SFG,-0.448812248,-0.737738793
12622-12704,Unclassified,-0.626309976,-0.26980899
12622-12705,SFG,-1.109234444,0.45940233
12622-1901,SFG,-0.30968636,-0.349289952
12622-1902,SFG,-0.274793615,-0.183724465
12622-3701,Passive,0.979318854,0.062769767
12622-3702,Passive,0.293662392,0.171599265
12622-3703,SFG,-0.612838614,-0.154711093
12622-3704,Passive,-0.152153722,0.530068639
12622-6101,SFG,-0.909837789,0.2153997
12622-6102,Passive,0.242004831,-0.401759442
12622-6103,Unclassified,-0.390346666,-0.56707299
12622-6104,Unclassified,-0.430927719,-0.538034418
12622-9101,SFG,-0.374233335,-0.588948935
12622-9102,Unclassified,0.275482,0.472452035
12624-12701,SFG,-0.760887283,0.04761104
12624-12703,SFG,-0.370719307,-0.461644185
12624-12704,SFG,-0.674785191,0.023430462
12624-12705,AGN,-0.005440307,0.10113558
12624-1901,SFG,-0.638450835,0.126548138
12624-6104,SFG,-0.016432543,-0.077125537
12624-9101,SFG,-0.285825646,-0.473590025
12667-12701,AGN,0.139284761,0.085493778
12667-12702,AGN,-0.077731095,0.937082124
12667-12703,Passive,0.176373433,0.226536812
12667-12704,Unclassified,0.151979429,0.173600162
12667-12705,Unclassified,0.036251248,0.188864669
12667-1902,Passive,0.155662275,0.444215254
12667-3701,SFG,-0.155141265,-0.28291483
12667-3702,Passive,0.075497857,-0.092199763
12667-3703,Passive,0.438530368,0.146093167
12667-3704,Unclassified,-0.119130094,-0.245362418
12667-6101,SFG,-0.311060623,-0.607008733
12667-6102,Passive,-0.082905582,-0.383031048
12667-6103,SFG,-0.236253895,-0.435494754
12667-6104,SFG,-0.277422495,0.075214916
12667-9101,Passive,0.395568225,0.443065267
12667-9102,Passive,0.103231175,0.245641391
12673-12702,Passive,0.031852492,0.211618596
12673-12703,SFG,-0.459492516,-0.533593585
12673-12704,Passive,0.36250722,0.173872395
12673-12705,Unclassified,0.110031578,0.286700721
12673-1901,Passive,0.246838496,-0.116220914
12673-1902,Passive,-0.375419598,0.341898538
12673-3701,Passive,-0.146357253,-0.146795003
12673-3702,Unclassified,-0.211213643,-0.084056964
12673-3703,SFG,-0.147417246,-0.598055492
12673-3704,SFG,-0.370389913,-0.444750518
12673-6101,SFG,-0.263431556,0.06513218
12673-6102,Passive,0.148003961,-0.037321526
12673-6103,SFG,-0.457021481,-0.322343117
12673-6104,Passive,0.277052818,-0.07457211
12673-9101,SFG,-0.452894467,-0.583755935
12673-9102,SFG,-0.208508346,0.25148543
12674-12701,SFG,-0.425297124,-0.591670061
12674-12702,SFG,-0.605186,-0.089326519
12674-12703,AGN,0.079953874,0.6554194
12674-12704,Unclassified,0.18575148,0.201517289
12674-12705,Passive,-0.366494775,-0.522117078
12674-1901,Passive,-0.750952819,-0.046751576
12674-1902,Passive,0.144422547,0.065942403
12674-3701,Passive,-0.463322429,0.19106197
12674-3702,Passive,0.126222228,0.304890692
12674-3704,Passive,0.415858116,-0.277070079
12674-6101,Passive,0.122357848,0.438804967
12674-6102,Unclassified,0.298980189,0.555251556
12674-6103,Unclassified,0.290012869,0.24631527
12674-6104,Passive,-0.387801749,-0.438945337
12674-9101,SFG,-0.312908897,-0.267213507
12674-9102,Unclassified,-0.371996471,-0.300877868
12675-12701,Unclassified,0.259844877,0.185218172
12675-12702,Passive,-0.149883225,0.150337267
12675-12703,SFG,-0.328372379,-0.381458012
12675-12704,SFG,-0.414654196,-0.455035046
12675-12705,Passive,-0.501990013,-0.382284992
12675-1901,Unclassified,-0.909913478,0.172163473
12675-1902,Unclassified,-0.049423493,0.456110994
12675-3701,Passive,0.014201973,0.093295328
12675-3702,Unclassified,0.163039585,0.55926982
12675-3703,Unclassified,-0.517210977,-0.504192241
12675-3704,AGN,0.325369903,0.365552221
12675-6101,Unclassified,-0.072934222,-0.067893596
12675-6103,Unclassified,0.002120518,0.189949459
12675-6104,Unclassified,0.235952794,0.181261193
12675-9101,Passive,0.012170737,0.272961304
12675-9102,Passive,0.129104613,0.233092742
12767-1902,SFG,-0.332560242,-1.349048999
7443-12701,Passive,-0.18760936,0.409618327
7443-12702,Unclassified,-0.429836058,-0.307154784
7443-12703,SFG,-0.287621033,-0.061796369
7443-12704,SFG,-0.444668796,-0.625280908
7443-12705,Unclassified,-0.40901499,-0.693419668
7443-1901,SFG,-0.547763009,-0.083101895
7443-1902,Passive,0.182689031,-0.334750988
7443-3701,SFG,-0.716879754,0.012558162
7443-3702,Passive,-0.05507232,0.46137753
7443-3703,Passive,-0.68010148,-0.195674025
7443-3704,SFG,-0.777773775,0.241562876
7443-6101,Unclassified,-0.637344735,0.018527654
7443-6102,SFG,-0.446731591,-0.724795759
7443-6103,SFG,-0.61685138,-0.045996422
7443-6104,Unclassified,0.098411779,0.260915824
7443-9101,SFG,-0.219061314,-0.086340257
7443-9102,Passive,0.179208816,0.114291417
7957-12701,Passive,-0.575315415,-0.253261478
7957-12702,SFG,-0.55208993,-0.686962612
7957-12703,Passive,0.16023283,0.163808296
7957-12704,SFG,-0.397043252,-0.346015854
7957-12705,Unclassified,-0.137038664,0.27840258
7957-1901,Passive,0.110550324,-0.399641144
7957-3701,Unclassified,0.181617092,0.271377224
7957-3702,Passive,-0.011979437,-0.076237875
7957-3703,SFG,-0.609995384,-0.075343207
7957-3704,SFG,-0.478732873,-0.600550385
7957-6101,Unclassified,-0.117982174,0.162805082
7957-6102,SFG,-0.144687828,-0.081946484
7957-6103,AGN,0.179810285,0.103953977
7957-6104,SFG,-0.598504272,-0.051188037
7957-9101,SFG,-0.569164258,-0.083442849
7957-9102,SFG,-0.481467038,-0.690675851
7958-12701,SFG,-0.786177303,0.163670905
7958-12702,Unclassified,-0.53752704,-0.121514364
7958-12703,Unclassified,-0.395720239,-0.250523576
7958-12704,SFG,-0.493934989,-0.140008652
7958-12705,SFG,-0.786114394,0.231764246
7958-1901,Passive,0.067466066,0.78997058
7958-1902,SFG,-0.309740292,-0.352472167
7958-3702,SFG,-0.132321686,0.08109418
7958-3703,Unclassified,0.120642497,0.549156952
7958-3704,Passive,-0.116713405,0.110579169
7958-6101,SFG,-0.218710989,-0.566496815
7958-6102,Passive,0.266745752,0.161192366
7958-6103,Passive,0.059852037,0.534504212
7958-6104,Passive,0.102550823,0.350252393
7958-9101,AGN,-0.291428356,0.704969111
7958-9102,Passive,0.050442841,0.415752576
7959-12701,SFG,-0.054159309,-0.006935177
7959-12702,AGN,0.092309148,0.264824567
7959-12703,AGN,0.101040612,0.139198952
7959-12704,SFG,-0.098331638,-0.036078413
7959-12705,SFG,-0.477332948,-0.708037324
7959-1901,SFG,-0.511995643,-0.09502632
7959-1902,Passive,-0.123098881,0.303878924
7959-3701,SFG,-0.207160953,-0.450841014
7959-3702,Passive,-0.018887398,0.648419442
7959-3703,Passive,-0.229745225,0.208510297
7959-6101,Passive,0.152016826,-0.028137787
7959-6102,AGN,0.238461898,1.00151326
7959-6103,AGN,0.086223073,0.742869954
7959-6104,Unclassified,0.22301499,0.380035921
7959-9101,Unclassified,-0.228197302,-0.198510089
7959-9102,SFG,-0.553648878,-0.639526678
7960-12701,AGN,-0.01309836,0.057906086
7960-12702,Unclassified,-0.256491048,-0.370754614
7960-12703,SFG,-0.452574782,-0.584817882
7960-12704,SFG,-0.451978231,-0.51441204
7960-12705,SFG,-0.315546343,-0.647463493
7960-1901,Passive,-0.174623789,-0.283665479
7960-1902,Passive,0.114568732,-0.345532919
7960-3701,Passive,0.185168716,0.300035085
7960-3702,Unclassified,0.033404072,0.159965615
7960-3703,SFG,-0.426470797,0.070514168
7960-3704,SFG,-0.792825633,0.269493189
7960-6101,SFG,-0.608410712,-0.215886296
7960-6102,SFG,-0.601445512,-0.276572428
7960-6103,SFG,-0.430293525,-0.455156972
7960-6104,Passive,0.039140349,0.187468997
7960-9101,SFG,-0.508935789,-0.031449406
7960-9102,Passive,0.162032403,-0.199005477
7961-12703,SFG,-0.468435263,-0.608604332
7961-12704,Unclassified,-0.316716778,0.423153868
7961-12705,AGN,0.093234821,0.15102277
7961-1901,Unclassified,-0.09915483,0.202360368
7961-3701,Passive,0.140115543,-0.151217955
7961-3702,SFG,-0.306627702,-0.125339866
7961-3703,Passive,-0.779844115,-0.570217859
7961-3704,Passive,0.505441726,0.180989021
7961-6101,Unclassified,0.160589683,0.321765928
7961-6102,Passive,-0.080479054,0.387434293
7961-6103,AGN,0.022679889,0.057855857
7961-6104,Unclassified,-0.355977751,-0.465256941
7961-9102,SFG,-0.40675812,-0.594601455
7990-12701,SFG,-0.572150215,-0.915059191
7990-12702,Passive,-0.178300999,-0.298691089
7990-12703,SFG,-0.671810858,-0.023657698
7990-12704,AGN,0.006591335,0.206764128
7990-12705,Unclassified,-0.011355656,0.209892481
7990-1901,AGN,0.235958996,0.562411249
7990-1902,SFG,-0.321955817,-0.452867412
7990-3701,Passive,-0.023497967,0.465745354
7990-3702,Unclassified,-0.323565262,-0.32876187
7990-3703,SFG,-0.606403551,0.038245625
7990-3704,Passive,0.145232139,0.574892338
7990-6101,Unclassified,-0.453117352,-1.662466258
7990-6102,Passive,-0.362536983,-0.215031323
7990-6103,Unclassified,-0.021888929,0.408690447
7990-6104,SFG,-0.470807658,-0.684639596
7990-9101,SFG,-0.448722017,-0.530388534
7990-9102,SFG,-0.36942437,-0.328199564
7991-12701,SFG,-0.240916693,-0.263150653
7991-12702,Unclassified,0.204698349,0.174664079
7991-12703,Unclassified,0.184262293,0.267408408
7991-12704,Unclassified,-0.440438573,-0.581418078
7991-12705,Unclassified,0.084546533,-0.236790911
7991-1901,SFG,-0.076579038,-0.176883155
7991-1902,Passive,0.114364814,1.101809474
7991-3701,Passive,-0.093300061,-0.112804866
7991-3702,AGN,-0.205388583,0.441460288
7991-3703,Passive,0.091340637,0.019827573
7991-3704,Unclassified,0.079029944,0.283924737
7991-6101,Passive,0.241386599,0.157112655
7991-6102,Passive,0.142242139,-0.276919228
7991-6103,SFG,-0.467981639,-0.509662609
7991-6104,AGN,0.260632016,0.952927694
7991-9101,Unclassified,-0.420988664,-0.322927455
7991-9102,Passive,-0.702733715,-0.092651813
7992-12701,Passive,-0.626246542,-0.055905989
7992-12702,Passive,-0.194982496,0.349328331
7992-12703,SFG,-0.916385498,0.297677969
7992-12704,Passive,0.346416469,-0.310639417
7992-12705,Passive,0.280835498,0.133913089
7992-1901,SFG,-0.523764478,-0.211817982
7992-1902,Unclassified,-0.196939584,0.074756864
7992-3701,Passive,-0.152667239,0.319861678
7992-3702,SFG,-0.438407865,-0.393176181
7992-3703,Passive,-0.192091794,0.571303169
7992-3704,SFG,-0.520500214,-0.106994908
7992-6101,Unclassified,0.149877444,0.134296406
7992-6102,SFG,-0.731813873,0.184615103
7992-6103,SFG,-0.315526115,-0.196692212
7992-6104,SFG,-0.385652359,-0.677948861
7992-9101,SFG,-0.920242689,0.133839253
7992-9102,AGN,0.266489761,0.936494963
8131-12701,SFG,-0.575621864,-0.211472563
8131-12702,Passive,0.217375156,0.140648552
8131-12703,Unclassified,-0.426915582,-0.383456592
8131-12704,Unclassified,0.024703829,0.384914584
8131-12705,Passive,0.114543246,-0.10734836
8131-1901,Passive,-0.123233412,-0.108151474
8131-1902,Passive,0.264846341,-0.034334571
8131-3701,Passive,-0.084600164,0.049614663
8131-3702,Passive,0.042974309,0.152951887
8131-3703,Passive,0.150487462,-0.15969343
8131-3704,Passive,0.080550655,-0.119337107
8131-6101,SFG,-0.378307181,-0.485725259
8131-6102,Passive,-0.19060492,-0.634373498
8131-6103,Passive,-0.056868274,-0.031590827
8131-6104,Passive,0.244749127,0.421652926
8131-9101,SFG,-0.976708749,0.351097078
8131-9102,Unclassified,0.160352213,0.352733989
8132-12701,Unclassified,-0.18937852,-0.248404941
8132-12702,AGN,0.16442196,0.627206831
8132-12703,Unclassified,-0.189564211,-0.157114132
8132-12704,Passive,0.016849659,0.314034355
8132-12705,SFG,-0.360390157,-0.256418762
8132-1901,Passive,0.262755082,0.166523681
8132-1902,Passive,0.188760324,0.319110763
8132-3701,Passive,0.786470249,0.490509241
8132-3702,SFG,-0.584659884,-0.031908755
8132-3703,SFG,-0.591208877,-0.125823596
8132-3704,Unclassified,-0.024231925,0.36036975
8132-6101,AGN,0.048818132,0.4529742
8132-6102,SFG,-0.258583538,-0.097071569
8132-6103,Passive,-0.244391004,-0.467753314
8132-6104,Passive,0.091446734,0.16471619
8132-9101,SFG,-0.465490767,-0.516486588
8132-9102,Unclassified,-0.014937218,0.250453158
8133-12701,Unclassified,-0.630312949,0.232072023
8133-12702,AGN,0.030566857,0.735076301
8133-12703,Passive,-0.045302535,-0.337639697
8133-12704,AGN,0.031216605,0.131093994
8133-12705,Unclassified,-0.134654587,-0.13007581
8133-1901,SFG,-0.606564232,-0.133514468
8133-1902,Passive,0.077466549,-0.069654835
8133-3701,SFG,-0.213355578,-0.38226964
8133-3702,Passive,0.150708754,0.237320999
8133-3703,Passive,0.134765934,0.25385112
8133-3704,SFG,-1.106898643,0.410450532
8133-6101,Passive,0.211585428,0.405511089
8133-6102,Passive,-0.646116754,-0.140455686
8133-6103,Passive,0.132313747,0.115247722
8133-6104,Passive,0.128209402,0.290180145
8133-9101,SFG,-0.251188724,-0.299756351
8133-9102,Unclassified,-0.136158591,-0.200338505
8134-12701,SFG,-0.482649583,-0.215866995
8134-12702,SFG,-0.447362761,-0.508978891
8134-12703,Unclassified,-0.47022469,-0.486066497
8134-12704,Unclassified,-0.047599384,0.05354425
8134-12705,Passive,-0.471519864,-0.487353825
8134-1901,SFG,-0.462061981,-0.577482388
8134-1902,Passive,0.15759636,-0.096373049
8134-3701,AGN,0.078926215,-0.003653669
8134-3702,Passive,0.120506964,0.447669988
8134-3703,Passive,-0.57931302,0.297186982
8134-3704,Passive,0.039161319,0.274721882
8134-6101,Passive,-0.177532629,0.000963395
8134-6102,Passive,0.149101629,0.276467831
8134-6103,SFG,-0.501283288,-0.300655299
8134-6104,SFG,-0.926024843,0.309156768
8134-9101,Passive,0.062499047,0.404143644
8134-9102,AGN,0.195686954,0.384702448
