plateifu,avg_emline_sflux_cen_oiii_5008,avg_emline_sflux_cen_hb_4862,avg_emline_sflux_cen_nii_6585,avg_emline_sflux_cen_ha_6564,avg_emline_sew_peak_ha_6564,avg_objdec,avg_emline_sflux_cen_oiid_3728,avg_emline_sflux_cen_hb_48621,avg_emline_sflux_cen_oiii_4960,avg_emline_sflux_cen_oiii_50081,avg_emline_sflux_cen_nii_6549,avg_emline_sflux_cen_ha_65641,avg_emline_sflux_cen_nii_65851
9033-9101,11.45823193,7.236966044,1.838861451,6.385242224,0.509080239,47.02697754,10.39407039,7.236966044,0.801920503,11.45823193,1.258045211,6.385242224,1.838861451
9033-9102,62.92552662,119.582695,146.6154823,465.6582031,29.27155256,46.48558426,239.4992371,119.582695,17.22034836,62.92552662,49.42242336,465.6582031,146.6154823
9034-12701,16.09918165,16.41184306,13.22834396,50.11479568,9.909874439,46.43623734,53.26512146,16.41184306,6.287583113,16.09918165,7.161159158,50.11479568,13.22834396
9034-12702,6.68294847,5.349910796,14.90855384,8.834074974,0.658999905,46.67844391,10.68731475,5.349910796,-4.439154625,6.68294847,2.873971403,8.834074974,14.90855384
9034-12703,23.00804901,8.034226894,27.93381262,37.9387989,4.46633172,47.10232162,21.89808083,8.034226894,8.223952889,23.00804901,16.66367555,37.9387989,27.93381262
9034-12704,11.86470652,23.77625448,7.502016783,13.18768537,1.538007259,46.49267578,12.86064553,23.77625448,-3.846847415,11.86470652,13.78319705,13.18768537,7.502016783
9034-12705,18.71979809,67.78023529,139.1021118,350.327774,21.59319592,46.10467911,56.9292593,67.78023529,6.611917853,18.71979809,45.07872009,350.327774,139.1021118
9034-1901,76.63914299,286.1449356,571.1551361,1296.441895,82.8798027,47.05696487,197.9115906,286.1449356,21.32359314,76.63914299,212.9576187,1296.441895,571.1551361
9034-1902,23.2122798,7.00568378,17.30384779,17.85931015,1.356015176,46.78859329,32.15373135,7.00568378,2.905476332,23.2122798,7.808003545,17.85931015,17.30384779
9034-3702,77.69004059,137.3686943,148.7581367,517.5895233,36.03776836,46.96365738,271.4735641,137.3686943,25.27663279,77.69004059,49.54830647,517.5895233,148.7581367
