plateifu,avg_emline_sflux_cen_oiii_5008,avg_emline_sflux_cen_hb_4862,avg_emline_sflux_cen_nii_6585,avg_emline_sflux_cen_ha_6564,avg_emline_sew_peak_ha_6564,Classification
10500-3701,7.385727763,14.70557046,60.2598362,29.32479954,1.878210038,Passive
10500-3702,96.85688591,281.1220703,638.0653076,1203.657684,76.15957832,SFG
10500-3703,47.60864639,187.1528282,298.7001724,792.0109558,43.60302353,SFG
10500-6101,17.00350904,35.60411644,78.87247467,200.2937508,22.85324764,SFG
10500-6102,4.367974043,7.016943455,11.84450626,27.41679192,2.042866915,Passive
10500-6103,5.53474319,4.99379155,10.54419804,9.671226144,1.131782666,Passive
10500-6104,25.36073446,22.13280296,44.71508121,91.88025856,5.690585136,Unclassified
10500-9101,6.819521964,7.79591471,7.035937071,8.575518906,1.84639059,Passive
10500-9102,6.445349216,22.10738516,42.58933163,99.17450714,6.150021553,SFG
10501-12701,12.21346211,16.22356129,47.25296593,68.65534019,5.46792984,Unclassified
10501-12702,10.90227723,36.18746853,53.39839745,133.3509369,8.53783989,SFG
10501-12703,6.19981277,16.69671464,9.42985177,45.01369381,17.09077215,SFG
10501-12704,9.708437681,63.2529192,90.59645844,261.7364273,14.28421855,SFG
10501-12705,9.207645096,8.050690502,2.837643184,24.71813844,2.40989548,Passive
10501-1901,22.19847393,31.84282064,86.51104927,156.0112305,9.743642569,SFG
10501-1902,106.4667263,299.8075714,797.9360504,1376.146484,89.94102859,SFG
10501-3701,37.35072422,81.01352501,204.4336243,470.5749817,27.35126305,SFG
10501-3702,21.23463202,13.69778079,23.0810504,27.70679569,1.662606925,Passive
10501-3703,4.868432045,10.14630961,18.68367529,41.76786041,3.110847652,Unclassified
10501-3704,31.27983379,11.98595119,58.71865654,25.34516287,1.725622922,Passive
10501-6102,31.93845797,167.88797,284.2297516,681.8143616,37.93489265,SFG
10501-6103,14.04873228,7.826347828,31.17433214,22.10504341,1.363259852,Passive
10501-6104,28.11918736,15.08843684,61.34050179,37.08869457,2.319940448,Passive
10501-9101,10.98035145,5.798407167,31.64177513,18.96111655,1.219946697,Passive
10501-9102,85.35691833,44.66274548,192.3778763,135.0265064,9.276480198,AGN
10502-12702,9.682426929,5.633615971,7.806846619,14.73229003,0.893185511,Passive
10502-12703,2.928921461,7.785382271,18.59213114,31.31283283,2.750624418,Passive
10502-12704,16.39859104,18.02578497,35.86238098,52.66470051,3.590447426,Unclassified
10502-1901,1402.418304,1028.588913,930.6376495,3579.312439,220.2649574,SFG
10502-3701,51.31679058,5.841037512,79.81561089,28.86355746,2.351846516,Passive
10502-3703,2.962765336,1.928745657,8.058643103,6.863558054,0.817894474,Passive
10502-3704,24.84435987,12.14522004,31.96549416,25.3169589,1.620061994,Passive
10502-6102,9.913594604,22.3499217,10.60970557,15.31784725,2.099180698,Passive
10502-6103,16.15226293,17.46432877,39.9950161,50.89753056,14.31081915,SFG
10502-6104,8.978209734,18.29355025,50.10516357,107.7266235,8.896912336,SFG
10502-9101,20.27047968,14.76248288,41.01194572,64.57790756,3.666087747,Unclassified
10502-9102,21.13748598,6.863137722,30.61117268,25.09981108,1.532778054,Passive
10504-12701,42.17275524,73.21510887,125.3115139,260.3912125,15.26356363,SFG
10504-12702,23.30774307,23.94419797,11.70151679,0.81325841,2.303996881,Passive
10504-12703,8.639503717,15.43602109,11.65337634,43.59258556,5.2773844,Unclassified
10504-12704,275.0420609,87.53853607,153.3468361,315.6869736,17.88768959,AGN
10504-12705,4.992341757,3.285394251,3.340399563,4.42263639,0.507969402,Passive
10504-1901,5.772591352,5.445008636,0.328853395,2.409392502,0.461524278,Passive
10504-1902,11.26808071,13.42856153,14.49837208,10.05886714,2.074285348,Passive
10504-3701,1.269374043,1.166070879,1.072799265,0.725757226,0.189136982,Passive
10504-3702,7.24023819,9.34786574,4.806622664,2.486698548,0.726445635,Passive
10504-3703,56.68854523,35.68374395,86.42716408,86.27386093,5.813078046,Unclassified
