plateifu,MANGAID,Type,TType,Unsure
9036-12702 ,1-248208 ,Sb         ,3,0
9036-12704 ,1-247975 ,SABbc      ,4,0
9036-12705 ,1-210159 ,SABbc      ,4,0
9036-1902  ,1-248133 ,S0         ,-2,0
9036-3701  ,1-248003 ,E          ,-5,0
9036-3702  ,1-594069 ,S0         ,-2,0
9036-3704  ,1-248214 ,Edc        ,-5,0
9036-6102  ,1-248037 ,Sbc        ,4,0
9036-9101  ,1-247661 ,Sa         ,1,0
9036-9102  ,1-248213 ,Sab        ,2,0
9037-12701 ,1-199210 ,Sc         ,5,0
9037-12702 ,1-593910 ,SABc       ,5,0
9037-12703 ,1-247758 ,Sc         ,5,0
9037-12704 ,1-593929 ,E          ,-5,0
9037-12705 ,1-569199 ,S0         ,-2,0
9037-1902  ,1-247775 ,S0         ,-2,0
9037-3702  ,1-199449 ,S0         ,-2,0
9037-3703  ,1-247782 ,E          ,-5,0
9037-3704  ,1-199454 ,SB0        ,-2,0
9037-6101  ,1-199396 ,SABab      ,2,0
9037-6102  ,1-199407 ,SBa        ,1,0
9037-6103  ,1-247774 ,Edc        ,-5,0
9037-6104  ,1-247713 ,Edc        ,-5,0
9037-9102  ,1-247771 ,Sc         ,5,0
9038-12701 ,1-569204 ,E          ,-5,0
9038-12702 ,1-199742 ,S0         ,-2,0
9038-12703 ,1-248056 ,SBbc       ,4,0
9038-12704 ,1-199741 ,Scd        ,6,0
9038-12705 ,1-247998 ,Sbc        ,4,0
9038-1901  ,1-199744 ,SB0a       ,0,0
9038-1902  ,1-199756 ,Edc        ,-5,0
9038-3701  ,1-199730 ,Sd         ,7,0
9038-3703  ,1-248077 ,Edc        ,-5,0
9038-3704  ,1-199743 ,SABab      ,2,0
9038-6101  ,1-248055 ,Edc        ,-5,0
9038-6102  ,1-594097 ,S0         ,-2,0
9038-9101  ,1-248111 ,Sd         ,7,0
9038-9102  ,1-248096 ,Sc         ,5,0
9039-12701 ,1-559109 ,S0         ,-2,0
9039-12702 ,1-262907 ,S0a        ,0,0
9039-12703 ,1-263104 ,Edc        ,-5,0
9039-12704 ,1-263197 ,SBab       ,2,0
9039-12705 ,1-263495 ,E          ,-5,0
9039-1901  ,1-262831 ,S0         ,-2,0
9039-1902  ,1-263219 ,S0         ,-2,0
9039-3701  ,1-262966 ,Edc        ,-5,0
9039-3702  ,1-263083 ,E          ,-5,0
9039-3703  ,1-262876 ,S0         ,-2,0
9039-3704  ,1-262904 ,Edc        ,-5,0
9039-6101  ,1-263429 ,E          ,-5,0
9039-6102  ,1-263490 ,Sab        ,2,0
9039-6103  ,1-262883 ,SAB0       ,-2,0
9039-6104  ,1-253426 ,Edc        ,-5,0
9039-9101  ,1-262830 ,SABb       ,3,0
9039-9102  ,1-593805 ,SB0        ,-2,0
9040-12701 ,1-296690 ,Sbc        ,4,0
9040-12702 ,1-265814 ,S0         ,-2,0
9040-12703 ,1-296644 ,Sd         ,7,0
9040-12704 ,1-296466 ,Sb         ,3,0
9040-12705 ,1-296440 ,Sc         ,5,0
9040-1902  ,1-296398 ,SAB0a      ,0,0
9040-3701  ,1-269740 ,E          ,-5,0
9040-3702  ,1-296812 ,E          ,-5,0
9040-3703  ,1-269412 ,S0         ,-2,0
9040-3704  ,1-296119 ,SBab       ,2,0
9040-6101  ,1-633819 ,SBab       ,2,0
9040-6102  ,1-296659 ,Sab        ,2,0
9040-6103  ,1-633805 ,Sab        ,2,0
9040-6104  ,1-296599 ,Sab        ,2,0
9040-9101  ,1-296621 ,E          ,-5,0
9040-9102  ,1-296537 ,Sab        ,2,0
9041-12701 ,1-264513 ,SBc        ,5,0
9041-12702 ,1-264059 ,SABc       ,5,0
9041-12703 ,1-264254 ,SABbc      ,4,0
9041-12705 ,1-633308 ,Sb         ,3,0
9041-1901  ,1-264158 ,Sa         ,1,0
9041-1902  ,1-264510 ,Sb         ,3,0
9041-3701  ,1-316933 ,E          ,-5,0
9041-3702  ,1-633256 ,Sbc        ,4,0
9041-3703  ,1-264054 ,S0         ,-2,0
9041-3704  ,1-559120 ,SBab       ,2,0
9041-6101  ,1-264108 ,S0         ,-2,0
9041-6102  ,1-633214 ,SABbc      ,4,0
9041-6103  ,1-264599 ,E          ,-5,0
9041-6104  ,1-264543 ,SBab       ,2,0
9041-9101  ,1-593982 ,SBab       ,2,0
9041-9102  ,1-633219 ,Sc         ,5,0
9042-12701 ,1-375129 ,Scd        ,6,0
9042-12702 ,1-375213 ,SABb       ,3,0
9042-12703 ,1-316872 ,SBb        ,3,0
9042-12704 ,1-633064 ,Sa         ,1,0
9042-12705 ,1-316865 ,E          ,-5,0
9042-1901  ,1-375364 ,Edc        ,-5,0
9042-1902  ,34-28    ,Sc         ,5,0
9042-3701  ,1-632935 ,Edc        ,-5,0
9042-3702  ,1-316385 ,SAB0       ,-2,0
9042-3703  ,1-593972 ,Edc        ,-5,0
9042-3704  ,1-593971 ,SB0        ,-2,0
9042-6101  ,1-375134 ,SBb        ,3,0
9042-6102  ,1-375053 ,Sb         ,3,0
9042-6103  ,1-375009 ,Sa         ,1,0
9042-6104  ,1-316296 ,Edc        ,-5,0
9042-9101  ,1-316402 ,SABb       ,3,0
9042-9102  ,1-549071 ,Sb         ,3,0
9043-12701 ,1-632513 ,S0         ,-2,0
9043-12702 ,1-632505 ,Edc        ,-5,0
9043-12703 ,1-632641 ,E          ,-5,0
9043-12704 ,1-632653 ,SBd        ,7,0
9043-12705 ,1-549076 ,S0         ,-2,0
9043-1901  ,1-374844 ,Sa         ,1,0
9043-1902  ,1-632488 ,S0         ,-2,0
9043-3701  ,1-632576 ,Edc        ,-5,0
9043-3702  ,1-374549 ,E          ,-5,0
9043-3703  ,1-374994 ,Edc        ,-5,0
9043-3704  ,1-374514 ,Edc        ,-5,0
9043-6101  ,1-374963 ,Sa         ,1,0
9043-6102  ,1-632643 ,SABa       ,1,0
9043-6103  ,1-374561 ,E          ,-5,0
9043-6104  ,1-315863 ,Sa         ,1,0
9043-9101  ,1-632309 ,E          ,-5,0
9043-9102  ,1-632731 ,E          ,-5,0
9044-12701 ,1-632610 ,Sbc        ,4,0
9044-12702 ,1-316109 ,S0         ,-2,0
9044-12703 ,1-315502 ,S0         ,-2,0
9044-12704 ,1-316145 ,S0         ,-2,0
9044-12705 ,46-51    ,S0a        ,0,0
9044-1901  ,1-315675 ,S0         ,-2,0
9044-1902  ,1-632365 ,SBa        ,1,0
9044-3701  ,1-632371 ,SBab       ,2,0
9044-3702  ,1-315063 ,S0         ,-2,0
9044-3703  ,1-316144 ,E          ,-5,0
9044-3704  ,1-316138 ,E          ,-5,0
9044-6101  ,1-316023 ,Sbc        ,4,0
9044-6103  ,1-315062 ,E          ,-5,0
9044-6104  ,1-632410 ,S0         ,-2,0
9044-9101  ,1-315626 ,Sb         ,3,0
9044-9102  ,1-315770 ,SB0        ,-2,0
9045-12701 ,1-314719 ,S0         ,-2,0
9045-12702 ,1-631824 ,SABcd      ,6,0
9045-12703 ,1-315103 ,SABb       ,3,0
9045-12704 ,1-315206 ,SBc        ,5,0
9045-12705 ,1-374107 ,Edc        ,-5,0
9045-1902  ,1-315099 ,SBa        ,1,0
9045-3701  ,1-315134 ,Sa         ,1,0
9045-3702  ,1-373717 ,SBc        ,5,0
9045-3703  ,1-632035 ,S          ,11,0
9045-3704  ,1-631986 ,Sa         ,1,0
9045-6101  ,1-373995 ,SBa        ,1,0
9045-6102  ,1-373784 ,Edc        ,-5,0
9045-6103  ,1-314700 ,Edc        ,-5,0
9045-6104  ,1-315276 ,S0         ,-2,0
9045-9101  ,1-631890 ,SBb        ,3,0
9045-9102  ,1-314676 ,Edc        ,-5,0
9046-12701 ,1-559171 ,S0         ,-2,0
9046-12702 ,1-296414 ,SBbc       ,4,0
9046-12703 ,1-296301 ,Edc        ,-5,0
9046-12704 ,1-295671 ,Sab        ,2,0
9046-12705 ,1-296298 ,SABd       ,7,0
9046-1901  ,1-633776 ,Sa         ,1,0
9046-1902  ,1-265495 ,Sa         ,1,0
9046-3702  ,1-633824 ,SAB0a      ,0,0
9046-3703  ,1-295307 ,S0a        ,0,0
9046-3704  ,1-295761 ,SABab      ,2,0
9046-6101  ,1-295644 ,Sab        ,2,0
9046-6102  ,1-295684 ,E          ,-5,0
9046-6103  ,1-296277 ,SBbc       ,4,0
9046-6104  ,1-295787 ,E          ,-5,0
9046-9101  ,1-296174 ,E          ,-5,0
9046-9102  ,1-296538 ,Edc        ,-5,0
9047-12701 ,1-296190 ,S0         ,-2,0
9047-12702 ,1-295449 ,SABab      ,2,0
9047-12703 ,1-269638 ,SBbc       ,4,0
9047-12704 ,1-295355 ,E          ,-5,0
9047-12705 ,1-270107 ,Sc         ,5,0
9047-1901  ,1-295721 ,E          ,-5,0
9047-3701  ,1-295343 ,S0a        ,0,0
9047-3702  ,1-270074 ,E          ,-5,0
9047-3703  ,1-295839 ,Edc        ,-5,0
9047-6101  ,1-295474 ,S0         ,-2,0
9047-6102  ,1-633981 ,E          ,-5,0
9047-6103  ,1-270072 ,E          ,-5,0
9047-6104  ,1-270129 ,Sb         ,3,0
9047-9101  ,1-295790 ,Sbc        ,4,0
9048-12702 ,1-295352 ,Sd         ,7,0
9048-12703 ,1-296149 ,Sc         ,5,0
9048-12704 ,1-295955 ,SBd        ,7,0
9048-12705 ,1-295525 ,S0         ,-2,0
9048-1901  ,1-295996 ,SABa       ,1,0
9048-1902  ,1-295542 ,Edc        ,-5,0
9048-3701  ,1-295887 ,E          ,-5,0
9048-3702  ,1-296316 ,Edc        ,-5,0
9048-3703  ,1-295303 ,Edc        ,-5,0
9048-3704  ,1-295367 ,Edc        ,-5,0
9048-6102  ,1-318518 ,SAB0       ,-2,0
9048-6103  ,1-295709 ,Edc        ,-5,0
9048-9101  ,1-296334 ,SBb        ,3,0
9048-9102  ,1-633934 ,E          ,-5,0
9049-12701 ,1-295190 ,Sb         ,3,0
9049-12702 ,1-295476 ,SABb       ,3,0
9049-12703 ,46-287   ,S0         ,-2,0
9049-12704 ,1-270135 ,SBab       ,2,0
9049-12705 ,1-269630 ,Edc        ,-5,0
9049-1901  ,1-269632 ,SBb        ,3,0
9049-1902  ,1-295359 ,SAB0       ,-2,0
9049-3701  ,1-295095 ,S0         ,-2,0
9049-3702  ,1-269634 ,SBcd       ,6,0
9049-3703  ,1-270160 ,S0         ,-2,0
9049-6103  ,1-270005 ,SBbc       ,4,0
9049-6104  ,1-269984 ,SABb       ,3,0
9049-9101  ,1-269986 ,Sb         ,3,0
9049-9102  ,1-269982 ,Sbc        ,4,0
9050-12701 ,1-318499 ,Scd        ,6,0
9050-12702 ,1-295241 ,Edc        ,-5,0
9050-12703 ,1-294992 ,Sa         ,1,0
9050-12704 ,1-295629 ,SABb       ,3,0
9050-12705 ,1-295183 ,SBab       ,2,0
9050-1901  ,1-295212 ,S0         ,-2,0
9050-1902  ,1-294969 ,S0         ,-2,0
9050-3701  ,1-318279 ,Edc        ,-5,0
9050-3703  ,1-318164 ,Edc        ,-5,0
9050-3704  ,1-318725 ,Sab        ,2,0
9050-6101  ,1-550824 ,E          ,-5,0
9050-6103  ,1-318519 ,Sa         ,1,0
9050-6104  ,1-295272 ,S0         ,-2,0
9050-9101  ,1-318601 ,Sb         ,3,0
9050-9102  ,1-318621 ,Sab        ,2,0
9085-12701 ,1-178399 ,Sc         ,5,0
9085-12702 ,1-178549 ,Sd         ,7,0
9085-12703 ,1-178557 ,SBab       ,2,0
9085-12704 ,1-178578 ,Sab        ,2,0
9085-12705 ,1-178542 ,SABb       ,3,0
9085-1901  ,1-177972 ,SB0        ,-2,0
9085-1902  ,1-178374 ,S0         ,-2,0
9085-6101  ,1-178403 ,Sa         ,1,0
9085-6102  ,1-178485 ,S0         ,-2,0
9085-6103  ,1-178335 ,SABc       ,5,0
9085-6104  ,1-178526 ,Sa         ,1,0
9085-9101  ,1-177985 ,SBab       ,2,0
9085-9102  ,1-178342 ,Sc         ,5,0
9086-12701 ,1-318397 ,Sbc        ,4,0
9086-12703 ,1-265530 ,SABb       ,3,0
9086-12704 ,1-265551 ,SABb       ,3,0
9086-12705 ,1-296030 ,Scd        ,6,0
9086-1901  ,1-318122 ,SAB0a      ,0,0
9086-1902  ,1-318137 ,S0a        ,0,0
9086-3701  ,1-317860 ,S0         ,-2,0
9086-3703  ,1-295953 ,Sb         ,3,0
9086-3704  ,1-317857 ,S0         ,-2,0
9086-6101  ,1-318474 ,Sb         ,3,0
9086-6103  ,1-318128 ,SBa        ,1,0
9086-6104  ,1-318370 ,SB0a       ,0,0
9086-9101  ,1-265548 ,E          ,-5,0
9086-9102  ,1-295998 ,Edc        ,-5,0
9087-12701 ,1-376312 ,SBbc       ,4,0
9087-12703 ,1-317981 ,SABcd      ,6,0
9087-12704 ,1-633593 ,SABbc      ,4,0
9087-12705 ,1-446131 ,SABc       ,5,0
9087-1901  ,1-376195 ,SAB0       ,-2,0
9087-1902  ,1-376323 ,S0         ,-2,0
9087-3701  ,1-376344 ,SB0        ,-2,0
9087-3702  ,1-317979 ,S0a        ,0,0
9087-3703  ,1-376341 ,Edc        ,-5,0
9087-3704  ,1-633628 ,SABab      ,2,0
9087-6101  ,1-443132 ,SABa       ,1,0
9087-6102  ,1-376388 ,Edc        ,-5,0
9087-6103  ,1-376166 ,E          ,-5,0
9087-6104  ,1-376179 ,Sa         ,1,0
9087-9101  ,1-376071 ,Sb         ,3,0
9087-9102  ,1-317951 ,Sb         ,3,0
9088-12701 ,1-265639 ,Sbc        ,4,0
9088-12702 ,1-265589 ,SBab       ,2,0
9088-12703 ,1-265772 ,Sc         ,5,0
9088-12704 ,1-265560 ,Sc         ,5,0
9088-12705 ,1-296074 ,Sab        ,2,0
9088-1901  ,1-296694 ,Scd        ,6,0
9088-3701  ,1-265704 ,E          ,-5,0
9088-3702  ,1-265632 ,SABa       ,1,0
9088-3703  ,1-265618 ,Sa         ,1,0
9088-3704  ,1-265758 ,E          ,-5,0
9088-6102  ,1-265769 ,Sbc        ,4,0
9088-6103  ,1-265801 ,Edc        ,-5,0
9088-6104  ,1-296457 ,S0         ,-2,0
9088-9101  ,1-265117 ,Sc         ,5,0
9089-12701 ,1-376168 ,SABc       ,5,0
9089-12702 ,1-318105 ,Sc         ,5,0
9089-12703 ,1-318146 ,S          ,11,0
9089-12704 ,1-318089 ,SBab       ,2,0
9089-12705 ,1-594190 ,S0         ,-2,0
9089-1901  ,1-376342 ,S0         ,-2,0
9089-1902  ,1-317862 ,E          ,-5,0
9089-3701  ,1-376321 ,SAB0a      ,0,0
9089-3703  ,1-318069 ,Sc         ,5,0
9089-3704  ,1-376348 ,SABb       ,3,0
9089-6101  ,1-376025 ,SABab      ,2,0
9089-6102  ,1-318024 ,S0         ,-2,0
9089-6103  ,1-559146 ,S0a        ,0,0
9089-6104  ,1-317809 ,SBab       ,2,0
9089-9102  ,1-265597 ,Sb         ,3,0
9090-12701 ,1-561324 ,E          ,-5,0
9090-12702 ,1-296681 ,SBcd       ,6,0
9090-12703 ,1-269177 ,SBbc       ,4,0
9090-12704 ,1-296849 ,Sc         ,5,0
